regulation_project_id;Мероприятия, необходимые для достижения целей регулирования;Сроки мероприятий;Описание ожидаемого результата;Объем финансирования;Источники финансирования
83532;нет; ; ; ; 
83533;нет;нет;нет;нет;нет
83535;нет;нет;нет;нет;нет
83537;нет; ; ; ; 
83539;-;-;-;-;-
83542;Принятие проекта акта;Вступление проекта акта в силу в основной части по истечении 9 месяцев со дня его официального опубликования.;Принятие и вступление проекта акта в силу.;Финансирования не планируется.;-
83554;-;-;-;-;-
83562;Проведение публичных мероприятий в целях разъяснения новых положений;В течение 3 месяцев после вступления в силу;Повышение информированности аккредитованных лиц о предъявляемых требованиях;-;-
83563;(Мероприятие 1);-;-;-;-
83563;(Мероприятие N);-;-;-;-
83567;Издание нор-мативного правового ак-та Правитель-ства Россий-ской Федера-ции;После вступления в силу федерального закона «О таможенном регулировании в Российской Федерации и о внесении изменений в отдельные законодательные акты Российской Федерации»;Издание Постановле-ния Прави-тельства Рос-сийской Фе-дерации;Отсутствует;Отсутствуют
83571;не требуются;-;-;-;-
83575;вступление в силу приказа ФНС России «Об утверждении формы требования о перечислении налога, сбора, страховых взносов, пени, штрафа, процента, авансового платежа, единого налогового платежа в бюджетную систему Российской Федерации»;2019 г.;возможность применения налоговыми органами обеспечения поступлений денежных средств в соответствии со статьей 58 Налогового кодекса Российской Федерации с учетом изменений, внесенных Федеральным законом от 29.07.2018 № 232-ФЗ «О внесении изменений в части первую Налогового кодекса Российской Федерации в связи с совершенствованием налогового администрирования»;не требуется;не требуется
83577;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
83587;Издание постановления Правительства РФ;февраль 2019 г.;внесение изменений в некоторые акты Правительства РФ;-;-
83589;Издание акта Росздравнадзора в рамках реализации проекта постановления;3-месячный срок с момента издания постановления;Издан акт Росздравнадзора в рамках реализации проекта постановления;Финасирование не требуется;Дополнительного финасирования не требуется
83590;-;-;-;-;-
83594;Принятие акта;01.11.2018;издание акта;нет;нет
83609;Утверждение указанного проекта приказа Минтранса России.;Декабрь 2018 г.;Утверждение типовых правил технической эксплуатации метрополитена;-;-
83611;-;-;-;-;-
83624;нет;нет;нет;нет;нет
83629;нет;нет;нет;нет;нет
83631;нет;нет;нет;нет;нет
83636;"Издание приказа ФТС России ""Об утверждении формы реестра таможенных представителей""";Декабрь 2018;Утверждение новой формы реестра таможенных представителей;Отсутствует;Отсутствует
83642;-;-;-;-;-
83650;Не требуется;-;-;-;-
83658;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
83659;Подготовка акта Правительства Российской Федерации об установлении границы территории и акватории речного порта, в котором в соответствии с законодательством Российской Федерации осуществляется или планируется осуществлять пропуск через Государственную границу Российской Федерации лиц, транспортных средств, грузов, товаров и животных;2019;Установление границы территории и акватории речного порта, в котором в соответствии с законодательством Российской Федерации осуществляется или планируется осуществлять пропуск через Государственную границу Российской Федерации лиц, транспортных средств, грузов, товаров и животных;-;-
83661;нет данных;нет данных;нет данных;нет данных;нет данных
83668;-;-;-;-;-
83669;-;-;-;-;-
83671;Отсутствуют;Отсутствуют;Отсустсвует;Отсустсвует;Отсустсвуют
83672;"Государственный надзор (контроль) за соблюдением законодательства об охране труда, в том числе в строительстве;";"Ежегодно, в рамках плановых мероприятий и по обращениям граждан (внеплановые проверки);";"Информация о соблюдении участниками трудовых отношений требований охраны труда, в том числе в строительстве;";Дополнительного финансирования не требуется;Не требуются
83672;доклад в Международную организацию труда о соблюдении требований ратифицированных Российской Федерацией Конвенций Международной организации труда;один раз в 5 лет по запросу Международной организации труда по вступившим в силу для Российской Федерации Конвенциям.;информация о соблюдении Российской Федерацией требований ратифицированных ею Конвенций Международной организации труда;Дополнительного финансирования не требуется;Не требуются
83678;-;-;-;-;-
83679;-;-;-;-;-
83680;-;-;-;-;-
83686;Подготовка проекта приказа ; ; ; ; 
83686;Минфина России;2018 года;возможность реализации полномочия по регистрации таможенных деклараций;не требуется;не требуются
83687;Дополнительных мероприятий, кроме вступления в силу проекта акта, не потребуется.;не устанавливаются.;Устранение пробелов в законодательстве Российской Федерации, произвольного толкования и применения федеральных законов от 19 июля 2018 г. № 216-ФЗ «О внесении изменения в статью 16 Федерального закона «О правовом положении иностранных граждан в Российской Федерации» и № 215-ФЗ «О внесении изменения в статью 18.9 Кодекса Российской Федерации об административных правонарушениях», а также возможность дополнительного контроля органами внутренних дел соблюдения иностранными гражданами и лицами без гражданства, прибывшими в Российскую Федерацию по визе, порядка пребывания (проживания) в Российской Федерации в части соответствия заявленной цели въезда фактически осуществляемой деятельности или роду занятий, а также соблюдения установленных сроков пребывания в Российской Федерации.;не требуется.;не требуются.
83697;Проведение публичных мероприятий в целях разъяснения новых положений;В течение трех месяцев после вступления в силу;Повышение информированности заявителей и аккредитованных лиц о предъявляемых требованиях;-;-
83703;_;_;_;_;_
83705;Мероприятия по согласованию с заинтересованными федеральными органами исполнительной власти;2018 год;Согласование проекта акта;В рамках доведенных лимитов федерального бюджета Российской Федерации;В рамках доведенных лимитов федерального бюджета Российской Федерации Федеральный бюджет Российской Федерации
83706;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует
83707;Проведение публичных мероприятий в целях разъяснения новых положений;В течение трех месяцев после вступления в силу;Повышение информированности заявителей и аккредитованных лиц;-;-
83709;_;_;_;_;_
83711;Принятие проекта нормативного правового акта;декабрь 2018 г.;Постановление Правительства Российской Федерации «О внесении изменений в приложение к постановлению Правительства Российской Федерации от 17 июля 2015 г. № 719 «О подтверждении производства промышленной продукции на территории Российской Федерации» в части включения требований в части турбин (ступица ветроэнергетической установки в сборе), части турбин (корпус подшипника вала турбины ветроэнергетической установки), части турбин на водяном паре и прочих паровых турбин, части насосов, части подъемников жидкостей (высокопроизводительные высоконапорные насосы для откачки пульпы на горно-добывающих комбинатах, перекачки жидкостей, применения в составе земснарядов при очистке водоемов или намывки береговой линии).;Финансирование не требуется;Финансирование не требуется
83714;Рассмотрение и принятие законопроекта;1 января 2019 г.;Вступление проекта в законную силу; ; 
83720;-;-;-;-;-
83723;нет;нет;нет;нет;нет
83724;нет;-;-;0;-
83726;нет;нет;нет;нет;нет
83729;"Принятие иных федеральных законов, вносящих изменения в Налоговый кодекс Российской Федерации, Земельный кодекс Российской Федерации, Трудовой кодекс Российской Федерации, Градостроительный кодекс Российской Федерации,Кодекс Российской Федерации об административных правонарушениях и обеспечивающих реализацию Федерального закона ""О едином механизме развития территорий с особыми условиями осуществления предпринимательской деятельности и о внесении изменений в отдельные законодательные акты Российской Федерации"".";"Одновременно с принятием Федерального закона ""О едином механизме развития территорий с особыми условиями осуществления предпринимательской деятельности и о внесении изменений в отдельные законодательные акты Российской Федерации""";Обеспечение функционирования единого механизма развития территорий с особыми условиями осуществления предпринимательской деятельности в субъектах Российской Федерации;-;-
83729; ; ; ; ; 
83729;"Утверждение нормативных правовых актов Правительства Российской Федерации и федеральных органов исполнительной власти, подлежащих изменению или принятию в связи с принятием Федерального закона «О едином механизме развития территорий "; ; ; ; 
83729;с особыми условиями осуществления предпринимательской деятельности ; ; ; ; 
83729;и о внесении изменений в отдельные законодательные акты ; ; ; ; 
83729;Российской Федерации»; ; ; ; 
83730;Мероприятия по согласованию проекта постановления в заинтересованных федеральных органах исполнительной власти и Банке России;октябрь 2018 г.;Согласование проекта постановления;Не требуется;-
83732;издание приказа Минэкономразвития России;февраль 2019 года;установление требований к графическому описанию местоположения границ публичного сервитута, точности определения координат характерных точек границ публичного сервитута, формату электронного документа, содержащего графическое описание местоположения границ публичного сервитута;-;-
83733;Вступление в силу нормативного правового акта в установленном законодательством порядке;1 января 2019 г.;Решение проблемы, указанной в п. 3.1, и предупреждение возникновения проблемы, указанной в п.3.2.;Дополнительного финансирования не требуется;не требуется
83734;нет;нет;нет;нет;нет
83737;Принятие проекта нормативного правового акта;Декабрь 2018;Постановление Правительства Российской Федерации «Об утверждении правил создания и эксплуатации системы автоматического контроля выбросов загрязняющих веществ, сбросов загрязняющих веществ»;Финансирование не требуется;Финансирование не требуется
83738;Принятие проекта нормативного правового акта;Декабрь 2018;Постановление Правительства Российской Федерации «О требованиях к автоматическим средствам измерения и учета показателей выбросов загрязняющих веществ, сбросов загрязняющих веществ, техническим средствам фиксации и передачи информации о показателях выбросов загрязняющих веществ, сбросов загрязняющих веществ в Государственный реестр объектов, оказывающих негативное воздействие на окружающую среду»;Финансирование не требуется;Финансирование не требуется
83745;Отсутствуют;Отсутствуют;Отсутствует;Отсутствует;Отсутствуют
83755;-;-;-;-;-
83770;Принятие проекта нормативного правового акта;ноябрь 2018 г.;постановление Правительства Российской Федерации «Об установлении запрета на допуск отдельных товаров, содержащих алюминий, происходящих из иностранных государств, для целей осуществления закупок для обеспечения государственных и муниципальных нужд»;Финансирование не требуется;Финансирование не требуется
83778;нет данных;нет данных;нет данных;нет данных;нет данных
83781;нет данных;нет данных;нет данных;нет данных;нет данных
83782;Мероприятия по согласованию проекта федерального закона в заинтересованных федеральных органах исполнительной власти;III - IV квартал 2018 года;Внесение проекта федерального закона в Правительство Российской Федерации;В рамках доведенных лимитов Федерального бюджета Российской Федерации;Федеральный бюджет Российской Федерации
83788;Принятие проекта нормативно правового акта;с 1 января 2019 года;"постановление Правительства Российской Федерации ""О внесении изменений в Постановление Правительства Российской Федерации от 17 июля 2015 г.№719 ""О критериях отнесения промышленной продукции к промышленной продукции, не имеющей аналогов, произведенных в Российской Федерации""";Финансирование не требуется;Финансирование не требуется
83794;-;-;-;-;-
83803;Нет мероприятий.;Нет мероприятий.;Не изменяется результат.;Не требуется.;Не требуется.
83810;нет;нет;нет;нет;нет
83814;Принятие предлагаемых законопроектом изменений;II квартал 2019 г.;Принятие законопроекта;Принятие и реализация законопроекта не потребует дополнительных расходов, покрываемых за счет федерального бюджета.;Реализация законопроекта будет осуществляться федеральными органами исполнительной власти в пределах установленных Правительством Российской Федерации численности и фонда оплаты труда работников центрального аппарата и территориальных органов и бюджетных ассигнований, предусмотренных данными органами в федеральном бюджете на руководство и управления в сфере установленных функций.
83816;Доработка программных средств Единой автоматизированной информационной системы таможенных органов;01.03.2019;автоматизация операций ведения реестра;информация отсутствует;средства федерального бюджета
83818;нет;нет;нет;нет;нет
83823;нет;нет;нет;нет;нет
83852;принятие проекта постановления;После принятия Правительством Российской Федерации;отсутствует;нет;отсутствуют
83855;нет;нет;нет;нет;нет
83881;-;-;-;-;-
83883;отсутствуют;отсутствуют;отсутствует;отсутствует;отсутствуют
83894;Создание и ведение государственной информационной системы электронных сертификатов;первое полугодие 2021 года;обеспечение возможности покупки товаров с использование электронного сертификата;182, 36 млн. рублей;федеральный бюджет
83902;Принятие акта;-;-;не требуется;-
83906;-;-;-;-;-
83907;-;-;-;-;-
83911;Не предусматриваются;-;-;-;-
83924;нет;нет;нет;нет;нет
83928;Издание приказа о внесении изменения в Правила плавания по внутренним водным путям;Со дня опубликования;Приведение в соответствие требованиям законодательства Российской Федерации;отсутствует;отсутствует
83939;Отсутствуют;-;-;-;-
83945;отсутствуют;отсутствует;отсутствует;отсутствует;отсутствует
83950;"принятие проекта приказа Минэкономразвития России ""О внесении изменений в классификатор видов разрешенного использования земельных участков, утвержденный приказом Минэкономразвития России от 1 сентября 2014 г. № 540""";1 квартал 2019 года;возможность более точного определения видов разрешенного использования земельных участков;-;-
83952;нет данных;нет данных;нет данных;нет данных;нет данных
83958;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
83971;Отсутствуют (Мероприятие №);-;-;-;-
83974;не выявлены;отсутствуют;отсутствуют;отсутствуют;отсутствуют
83991;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
84004;внесение изменений в приказ ФНС России от 05.12.2016 № ММВ-7-21/668@;2018 год;внесение изменений в приказ ФНС России от 05.12.2016 № ММВ-7-21/668@;не оценивался;не предусмотрены
84004;внесение изменений в приказ ФНС России от 05.12.2016 № ММВ-7-21/668@;2018 год;внесение изменений в приказ ФНС России от 05.12.2016 № ММВ-7-21/668@;не оценивался;не предусмотрены
84021;-;-;-;-;-
84048;-;-;-;-;-
84075;-;-;-;-;-
84088;нет;нет;нет;нет;нет
84096;отсутствуют;отсутствуют;отсутствует;отсутствует;отсутствуют
84098;–;–;–;–;–
84113;(Мероприятие N);-;-;-;-
84113;осуществление таких мероприятий не требуется;-;-;-;-
84116;Осуществление организационно-технических, методологических, информационных и иных мероприятий не потребуется;Осуществление организационно-технических, методологических, информационных и иных мероприятий не потребуется;Осуществление организационно-технических, методологических, информационных и иных мероприятий не потребуется;Финансирование не требуется;Финансирование не требуется
84122;отсутствуют;-;-;-;-
84157;нет;нет;нет;нет;нет
84160;-;-;-;0;-
84169;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
84172;Издание правового акта Минфина России;Отсутствуют;Правовой акт Минфина России приведен в соответствие с Федеральным законом № 289-ФЗ;Отсутствуют;Отсутствуют
84176;не выявлены;отсутствуют;отсутствуют;отсутствуют;отсутствуют
84177;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
84180;отсутствуют;-;-;-;-
84181;принятие проекта постановления;После принятия Првительством Российской Федерации;нет;нет;нет
84185;Процедура внесения изменений в проект приказа в соответствии с действующим законодательством;-;Внесение изменений в проект приказа;Отсутствует;Отсутствуют
84192;Не требуются;Отсутствуют;Отсутствуют;Не требуется;не требуется
84193;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует
84201;все договоры аренды лесных участков в целях заготовки должны содержать новые основания для его одностороннего расторжения;шесть месяцев со дня опубликования закона;сократится экспорт круглой древесины, создание в ДФО лесоперерабатывающей инфраструктуры, деревообрабатывающих производств, домостроение;отсутствует;отсутствует
84203;-;-;-;-;-
84205;издание нормативного правового акта ФСБ России;до момента издания нормативного правового акта ФСБ России;приказ ФСБ России «Об установлении контрольных пунктов (точек) и утверждении Порядка прохождения контрольных пунктов (точек) российскими и иностранными судами и иными плавучими средствами, осуществляю-щими рыболовство и следующими в исключи-тельную экономическую зону Российской Федерации и выходящими из нее»;финансирование не требуется;финансирование не требуется
84207;-;-;-;-;-
84227;Принятие предлагаемых проектом постановления изменений;IV квартал 2018 года;Принятие постановления;Не потребуется;Принятие и реализация проекта постановления не потребует дополнительных расходов федерального бюджета
84247;-;-;-;-;-
84254;нет;нет;нет;нет;нет
84260;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
84262;Мероприятия не требуются;отсутствует;-;-;-
84267;Разработка и издание постановления Правительства Российской Федерации;-;-принятие постановления Правительства Российской Федерации;-;-
84271;-;-;-;-;-
84274;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
84275;Не потребуются.;Не потребуются.;Не потребуются.;Не потребуется.;В рамках рекущего финансирования.
84276;-;-;-;-;-
84290;увеличение численности федеральных государственных гражданских служащих, необходимых территориальным управлениям Россельхознадзора для осуществления полномочий, предусмотренных Законопроектом;2020 год;увеличение численности федеральных государственных гражданских служащих территориальных управлений Россельхознадзора на 319 единиц;"на 2019 год: 185 945,1 тыс. рублей; на 2020 год: 191 272,4 тыс. рублей; на 2021 год: 196 472,1 тыс. рублей.";федеральный бюджет
84291;отсутствуют;отсутствуют;отсутствует;отсутствует;отсутствуют
84295;(Мероприятие 1);проведение указанных мероприятий не требуется;-;-;-
84295;(Мероприятие N);-;-;-;-
84299;нет;нет;нет;нет;нет
84306;Издание приказа Минфина России;декабрь 2018;приведение в соответствие праву Евразийского экономического союза;Не требуется дополнительного финансирования;-
84308;Осуществление организационно-технических, методологических, информационных и иных мероприятий не потребуется;Осуществление организационно-технических, методологических, информационных и иных мероприятий не потребуется;Осуществление организационно-технических, методологических, информационных и иных мероприятий не потребуется;Финансирование не требуется;Финансирование не требуется
84311;нет;нет;нет;нет;нет
84320;Мероприятия по доведению информации до участников отношений;До конца 2018 года;Информированность всех участников отношений;нет;нет
84331;отсутствуют;отсутствуют;отсутствует;отсутствует;отсутствуют
84336;Не предусмотрено;-;-;-;-
84339;"1) разъяснения территориальным органам ФАС России;
";"1) в течение месяца со дня вступления в силу;
";отсутствует;отсутствует;отсутствуют
84339;2) пресс-релиз на официальном сайте ФАС России в информационно-телекомуникационной сети «Интернет»;2) согласно срокам, установленным Положением об информационной политике Федеральной антимонопольной службы и ее территориальных органов, утвержденным приказом ФАС России от 10.11.2015 № 1069/15;отсутствует;отсутствует;отсутствуют
84343;--;--;--;--;--
84345;утверждение проекта постановления;2019 год;переход на новый метод регулирования;-;-
84346;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
84350;нет;нет;нет;нет;нет
84354;Принятие проекта нормативного правового акта;декабрь 2018 г.;Постановление Правительства Российской Федерации «О внесении изменений в приложение к постановлению Правительства Российской Федерации от 17 июля 2015 г. № 719 «О подтверждении производства промышленной продукции на территории Российской Федерации» в части включения требований к транспортным средствам, предъявляемых в целях их отнесения к продукции, произведенной на территории Российской Федерации, по изготовлению или использованию компонентов из алюминиевых сплавов российского производства.;Финансирование не требуется;Финансирование не требуется
84359;принятие приказа Минэкономразвития России «О внесении изменений в отдельные приказы Минэкономразвития России в части подготовки документов, необходимых для осуществления государственного кадастрового учета объектов недвижимости» в целях реализации Закон № 171-ФЗ.;1 октября 2018 г.;"упрощение процедуры осуществления государственного кадастрового учета недвижимого имущества принадлежащего АО "" Почта России""";0;-
84363;отсутствуют;-;-;-;-
84379;не потребуется;нет;нет;не потребуется;не потребуется
84382;-;-;-;-;-
84384;Принятие Федерального закона.;18.12.2018;Формирование ответственного и взвешенного подхода к развитию территорий, связанных с объектами всемирного наследия.;Принятие Федерального закона «О внесении изменений в Федеральный закон «Об объектах культурного наследия (памятниках истории и культуры) народов Российской Федерации» (в части установления порядка выполнения международных обязательств, вытекающих из Конвенции об охране всемирного культурного и природного наследия от 16 ноября 1972 года)» – (далее законопроект) – не потребует выделения дополнительных ассигнований из федерального бюджета.;-
84386;"Издание приказа ФТС России ""Об утверждении формы отчета и порядка и сроков представления отчетности таможенным представителем""";IV квартал 2018 г.;Утверждение новой формы отчета и порядка и сроков представления отчетности таможенным представителем;Отсутствует;Отсутствует
84406;-;-;-;-;-
84408;"Издание приказа ФТС России №Об утерждении форм заявления о включении в реестр таможенных представителей и заявления о внесении изменений в реестр таможенных представителей""";IV квартал 2018 г.;Утверждение форм заявления о включении в реестр таможенных представителей и заявления о внесении изменений в реестр таможенных представителей, соответствующих положениям Федерального закона № 289-ФЗ;Отсутствует;Отсутствует
84410;(Мероприятие 1);-;-;-;-
84410;(Мероприятие N);-;-;-;-
84411;-;-;-;-;-
84414;Кроме вступления в силу нормативного правового акта установленным законодательством порядком разработка дополнительных мероприятий не требуется.;Дата регистрации нормативного правового акта Минюстом России.;Решение проблемы, указанной в п. 3.1, и предупрежде-ние возник-новения негативных последствий, указанных в п. 3.2;Дополнитель-ного финансирования не требуется.;Не требуются.
84415;"Издание приказа ФТС России ""Об утверждении Порядка действий должностных лиц ФТС России по исключению юридических лиц из реестра таможенных представителей";IV квартал 2018 г.;Утверждение Порядка действий должностных лиц ФТС России по исключению юридических лиц из реестра таможенных представителей;Отсутствует;Отсутствует
84417;нет;нет;нет;нет;нет
84423;нет;нет;нет;нет;нет
84424;Кроме вступления в силу нормативного правового акта установленным законодательством порядком разработка дополнительных мероприятий не требуется.;Дата регистрации нормативного правового акта Минюстом России.;Решение проблемы, указанной в п. 3.1, и предупрежде-ние возник-новения негативных последствий, указанных в п. 3.2.;Дополнительного финансирования не требуется.;Не требуется.
84425;Дополнительных мероприятий не требуется.;Дата регистрации нормативного правового акта Минюстом России.;Решение проблемы, указанной в п. 3.1, и предупрежде-ние возник-новения негативных последствий, указанных в п. 3.2.;Дополнительного финансирования не требуется.;Не требуется.
84428;Проведение метрологического надзора;в соответствии с планом мероприятий;уменьшение случаев недолива топлива;информация отсутствует;информация отсутствует
84443;разработка подзаконных актов;до 31.12.2019;вступление в силу НПД;не требует финансирования;не требует финансирования
84452;Мониторинг реализации норм Закона № 7-ФЗ и Постановления № 255;Постоянно;Исполнение лицами, обязанными вносить плату за негативное воздействие на окружающую среду, требований законодательства об охране окружающей среды.;0;В пределах установленной Правительством Российской Федерации предельной численности работников Минприроды России и Росприроднадзора, а также бюджетных ассигнований, предусмотренных в федеральном бюджете на управление в сфере установленных функций
84461;Отсутствуют (Мероприятие №);-;-;-;-
84468;-;-;-;-;-
84472;Мониторинг реализации норм Закона № 89-ФЗ и Постановления № 284;постоянно;Исполнение субъектами предпринимательской деятельности обязательств по обеспечению утилизации отходов от использования товаров и упаковки в соответствии с нормативами утилизации, установленными Правительством Российской Федерации, и, при необходимости, уплате экологического сбора.;0;В пределах установленной Правительством Российской Федерации предельной численности работников Минприроды России и Росприроднадзора, а также бюджетных ассигнований, предусмотренных Службе в федеральном бюджете на управление в сфере установленных функций
