regulation_project_id;Цели предлагаемого регулирования;Индикативные показатели;Единицы измерения индикативных показателей;Способы расчета индикативных показателей
95491;нет;нет;нет;нет
95528;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
95534;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
95536;вступление в силу приказа ФНС России «О внесении изменений в Порядок списания недоимки и задолженности по пеням, штрафам и процентам, признанных безнадежными к взысканию, утвержденный приказом ФНС России от 02.04.2019 № ММВ-7-8/164@»;-;-;-
95538;"Внесение изменений в Порядок освидетельствования рыболовных судов и их судовладельцев на соответствие требованиям Международного кодекса по управлению безопасной эксплуатацией судов и предотвращением загрязнения, утвержденный приказом Министерства сельского хозяйства Российской Федерации 
от 28 апреля 2015 г. № 166
";отсутствуют;отсутствуют;отсутствуют
95539;обеспечение подачи и отведения воды в установленные сроки, с соблюдением всех нормативов во избежание срывов работ в вегетационный период и получение запланированного (гарантированного) урожая.;заключенные договоры;количество заключенных договоров, шт. (количество потребителей услуг);бухгалтерский учет владельцев мелиоративных систем (эксплуатирующих организаций)
95547;Обеспечить проведение оперативно-разыскных мероприятий и безопасности Российской Федерации при использовании программно-аппаратных средств организаторами распространения информации.;Нет.;Нет.;Нет.
95548;-;-;нет;нет
95557;Снятие ограничений в части применении особого налогового режима (единый сельскохозяйственный налог) в отношении сельскохозяйственных товаропроизводителей, специализирующихся на выращивании грибов в защищенном грунте;не требуются;отсутствуют;не требуются
95563;нет;нет;нет;нет
95572;Целью предлагаемого правового регулирования является  оптимизация и совершенствование правового регулирования лицензирования космической деятельности.;Нет;Нет;Нет
95592;Проект постановления Правительства Российской Федерации «О порядке формирования перечня уполномоченных единым институтом развития в жилищной сфере организаций, осуществляющих деятельность по предоставлению ипотечных займов, а также требованиях, предъявляемых к включаемым в него организациям», разработанный в соответствии с частью 11 статьи 61 Федерального закона от 21 декабря 2013 года № 353-ФЗ «О потребительском кредите (займе)» (в редакции Федерального закона от 2 августа 2019 года № 271-ФЗ «О внесении изменений в отдельные законодательные акты Российской Федерации;Отсутствуют;Отсутствуют;Отсутствуют
95597;Нет;Нет;Нет;Нет
95604;Определение порядка включения юридического лица или индивидуального предпринимателя в реестр специализированных организаций участвующих в государственной регистрации транспортных средств и, исключения из указанного реестра, порядка ведения реестра и предоставления сведений из него;нет;нет;отсутствуют
95614;Определение порядка включения юридического лица или индивидуального предпринимателя в реестр изготовителей государственных регистрационных знаков транспортных средств и исключения юридического лица или индивидуального предпринимателя из указанного реестра, порядок ведения указанного реестра и предоставления сведений из него;нет;нет;нет
95625;Проведение оценки соответствия систем менеджмента качества;Отсутствуют;Количество сертификатов систем менеджмента качества;Отсутствуют
95647;информация отсутствует;-;-;-
95687;Установление норм регулирующих добычу (вылов) водных биоресурсов в водных объектах Северного рыбохозяйственного бассейна.;отсутствуют;отсутствуют;отсутствуют
95688;Реализация возможности постановки на учет в налоговых органах крупнейших налогоплательщиков и направление им уведомления о постановке на учет в налоговом органе в качестве крупнейшего налогоплательщика по утвержденной форме;количество выданных  (направленных)уведомлений;штука;суммирование количества выданных (направленных)уведомлений
95699;нет;нет;нет;нет
95700;.;.;.;.
95701;-;-;-;-
95709;реализация возможности учета в налоговых органах иностранных организаций на основании заявлений по утвержденным формам;количество представленных заявлений;шт;суммирование количества представленных заявлений
95715;Целью предлагаемого правового регулирования является оптимизация и совершенствование правового регулирования лицензирования космической деятельности.;Нет;Нет;Нет
95722;Внесение изменений в постановление Правительства Российской Федерации от 31 декабря 2009 г. № 1148 «О порядке хранения;отсутствуют;отсутствуют;отсутствуют
95725;(Цель N);(Показатель N.1);-;-
95725;(Цель N);(Показатель N.K);-;-
95729;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
95745;-;-;-;-
95763;(Цель N);(Показатель N.1);отсутствует;отсутствует
95763;(Цель N);(Показатель N.K);отсутствует;отсутствует
95770;"Совершенствование нормативно-парового регулирования в области предоставления юридическими лицами независимо от их организационно-правовой формы и физическими лицами, осуществляющими сбор информации о состоянии окружающей среды и ее загрязнения, в Федеральную службу по гидрометеорологии и мониторингу окружающей среды информации о состоянии окружающей среды, ее загрязнении и чрезвычайных ситуациях техногенного характера, которые оказали, оказывают и (или) могут оказать негативное воздействие на окружающую среду. 
";отсутствуют;-;-
95782;Утвердить Положение об условиях договора поручительства публично-правовой компании «Фонд защиты прав граждан – участников долевого строительства» по заключенному застройщиком с уполномоченным банком кредитному договору, предусматривающему предоставление целевого кредита на строительство (создание) многоквартирного дома и (или) иного объекта недвижимости в соответствии с Федеральным законом «Об участии в долевом строительстве многоквартирных домов и иных объектов недвижимости и о внесении изменений в некоторые законодательные акты Российской Федерации» и о порядке принятия публично-правовой компанией «Фонд защиты прав граждан – участников долевого строительства» решения о выдаче такого поручительства»;отсутствуют;отсутствуют;отсутствуют
95788;установление требований к функционированию различных видов РЗА в составе электроэнергетической системы, требований к чувствительности, быстродействию и селективности устройств релейной защиты.;-;-;-
95806;Отсутствует;Отсутствует;Отсутствует;Отсутствует
95888;"Дифференциация административной ответственности за нарушение санитарно-эпидемиологических требований, требований технических регламентов о безопасности пищевой продукции при приготовлении пищи и напитков, их хранении и реализации населению в специально оборудованных местах (столовых, ресторанах, кафе, барах и других местах), недопущение применения административного приостановления деятельности на срок, значительно превышающий разумные сроки устранения допущенных нарушений в указан-ной сфере, исключение конкуренции составов административных правонарушений, предусмотренных статьями 6.6 и 14.43 КоАП.
";нет;нет;нет
95891;"- уточнение порядка определения максимальной располагаемой мощности для действующего генерирующего оборудования в случаях, когда ее корректировка происходит без изменения установленной генерирующей мощности такого оборудования;
- корректировка требований, предъявляемых к проведению комплексного опробования (работы с максимально возможной мощностью) генерирующего оборудования СЭС, ВЭС, ВОЛЭС, ГУБТ и ДГА;
- уточнение требований к проведению комплексного опробования (работы с максимально возможной мощностью) ГАЭС с учетом технических возможностей действующих ГАЭС;
- уточнение перечня случаев, в которых общесистемные параметры и характеристики генерирующего оборудования определяются по результатам проведения комплексных испытаний, и объема испытаний, подлежащих к проведению в каждом из случаев;
- уточнение процедуры определения регулировочного диапазона по реактивной мощности;
- однозначное определение и персонализация объекта комплексных испытаний в рамках программы;
- конкретизация требований, предъявляемых к технической документации на испытываемое генерирующее оборудование, и оформлению результатов комплексных испытаний;
- устранение требований к собственникам генерирующего оборудования по предоставлению технической документации на генерирующее оборудование на этапе согласования программы комплексных испытаний;
- корректировка сроков согласования программ и отчётов о результатах комплексных испытаний при вторичном рассмотрении соответствующей документации, направленная на повышение качества выполнения субъектом оперативно-диспетчерского управления указанных функций;
- конкретизация применяемой терминологии;";-;-;-
95919;нет;нет;нет;нет
95934;Определение правил установления границ охранных зон аммиакопроводов, условий использования земельных участков, расположенных в их пределах и ограничения хозяйственной деятельности;Снижение рисков повреждения аммиакопровода и (или) причинения вреда жизни и здоровью человека, а также повышение вероятности предотвращения аварий на аммиакопроводах и ликвидации их последствий;Не предусмотрены;Не предусмотрены
95941;Определение правил установления границ зон минимальных расстояний до аммиакопроводов, условий использования земельных участков, расположенных в их пределах и ограничения хозяйственной деятельности ;Снижение рисков повреждения аммиакопровода и (или) причинения вреда жизни и здоровью человека, а также повышение вероятности предотвращения аварий на аммиакопроводах и ликвидации их последствий;Не предусмотрены;Не предусмотрены
95965;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
95977;Установление порядка комиссионного актирования случаев непреднамеренной утраты или уничтожения наркотических средств и психотропных веществ, не повлекших за собой их выбытия в незаконный оборот;Отсутствуют;Отсутствуют;Отсутствуют
95979;Исключение из законодательства Российской Федерации требований в части установления рыбоохранных зон, а также условий, запретов и ограничений для осуществления деятельности хозяйствующими субъектами в рыбоохранных зонах;отсутствуют;отсутствуют;отсутствуют
95985;-;-;-;-
95989;Реализация прав и обязанностей рыбоводных хозяйств на осуществление акклиматизации водных биологических ресурсов;Количество выпущенных водных биологических ресурсов;штуки, килограммы;Сравнение показателей за текущий год к отчетному году
95991;Проект приказа не предполагает показателей для оценки заявленных целей регулирования;-;-;-
96008;-;-;-;-
96011;-;-;-;-
96016;Совершенствование указанных в пункте 43 Правил действующих требований к участникам оптового рынка электрической энергии и мощности относительно периодичности прохождения процедуры аттестации генерирующих объектов, в состав которых входит генерирующее оборудование гидроэлектростанций ;-;-;-
96027;уточнение понятийного аппарата Федерального закона «Об электроэнергетике», совершенствование порядка взаимодействия субъектов электроэнергетики и потребителей электрической энергии, исключения (изменения) по итогам  сложившейся практики отдельных положений Федерального закона «Об электроэнергетике», утративших актуальность.;-;-;-
96052;Исключение положений нормативных правовых актов в части требований установления рыбоохранных зон, а также условий, запретов и ограничений деятельности в рыбоохранной зоне;отсутствуют;отсутствуют;отсутствуют
96057;Осуществление государственного контроля (надзора) за специализированными организациями и изготовителями государственных регистрационных знаков транспортных средств без проведения плановых проверок деятельности организаций.;нет;нет;отсутствуют
96058;Установление административной ответственности;Вступление в силу Федерального закона;отсутствуют ;отсутствуют 
96060;установление требований к разработке СВМ и СВЭ, а также порядка взаимодействия при их согласовании с  сетевой организацией и субъектом оперативно-диспетчерского управления в электроэнергетике.;-;-;-
96136;Устранение административных барьеров;затраченные ресурсы на ввоз аэродромной техники изза рубежа;время, деньги;-
96138;Установить единый порядок принятия решений об установлении, изменении и прекращении ЗОУИТ;Нет;Нет;Нет
96141;"Приведение акта Правительства Российской Федерации, регламентирующего порядок установления охранных зон гидроэнергетических объектов в соответствие с Федеральным законом от 03.08.2018 № 342-ФЗ «О внесении изменений в Градостроительный кодекс Российской Федерации и отдельные законодательные акты Российской Федерации», а также внесение корреспондирующих изменений в постановления Правительства Российской Федерации от 30.12.2006 № 844 ""О порядке подготовки и принятия решения о предоставлении водного объекта в пользование"", от 14.04.2007 г. № 230 ""О договоре водопользования, право на заключение которого приобретается на аукционе, и о проведении аукциона"", от 12.03.2008 № 165 ""О подготовке и заключении договора водопользования""";Отсутствуют;Отсутствуют;Отсутствуют
96146;(Цель N);(Показатель N.1);отсутствует;-
96146;(Цель N);(Показатель N.K);отсутствует;-
96148;Реализация прав рыбоводных хозяйств на заключение договоров о предоставлении рыбоводного участка для осуществления аквакультуры (рыбоводства);Количество заключенных договоров;Штуки;Сравнение показателей за текущий год к предыдущему году
96152;"Недопущение нахождения на рынке опасной продукции (выделение вредных веществ)
";отсутствуют;отсутствуют;отсутствуют
96163;(Цель N);(Показатель N.1);отсутствует;-
96163;(Цель N);(Показатель N.K);отсутствует;-
96180;Повысить безопасность людей, снизить риски и угрозы возникновения пожаров, а также упростить процесс предоставления декларации пожарной безопасности ;Не требуется;Не установлены;Не предусмотрены
96194;Прохождения работниками, занятыми на подземных работах,  обязательных медицинских осмотров до начала рабочего дня (смены), а также по истечении рабочего дня (смены) для выявления состояния их здоровья.;Количество смертельных случаев в подземных условиях.;отсутствуют;отсутствуют
96245;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
96256;отсутствуют;отсутствуют;отсутствуют;отсутствуют
96257;Установление норм регулирующих добычу (вылов) водных биоресурсов в водных объектах Байкальского рыбохозяйственного бассейна.;отсутствуют;отсутствуют;отсутствуют
96308;-;-;-;-
96320;.;.;.;.
96340;Реализация пункта 6 Федерального закона от 18 июля 2019 г. № 192-ФЗ «О внесении изменений в Федеральный закон «О государственном контроле за осуществлением международных автомобильных перевозок и об ответственности за нарушение порядка их выполнения»;-;-;-
96341;Решение проблемы, указанной в п. 3.1, и предупреждение возникновения негативных последствий, указанных в  п. 3.2.;Отсутствие случаев нарушения устойчивой связи и возможность безопасного проведения аутентификации пользователей услугами связи в полном объеме.;Количество обращений уполномоченных государственных органов по  случаям нарушения безопасности из-за отсутствия возможности проведения безопасной аутентификации пользователей услугами связи.;Статистический анализ.
96349;"1) устранение имеющегося правового пробела, заключающегося в отсутствии в действующем законодательстве о связи определения услуги завершения международного вызова на сеть российского оператора связи;
2) снижение объемов операторского фрода, основанного на подмене номера А во входящем международном трафике. "; ; ; 
96350;Решение проблемы, указанной в п. 3.1, и предупреждение возникновения негативных последствий, указанных в  п. 3.2;Возможность безопасного проведения аутентификации пользователей услугами связи в полном объеме.;Количество обращений уполномоченных государственных органов по  случаям нарушения безопасности из-за отсутствия возможности проведения безопасной аутентификации пользователей услугами связи.;Статистический анализ.
96363;"Установление порядка представления юридическими лицами – резидентами,  индивидуальными предпринимателями – резидентами, физическими лицами - резидентами налоговым органам отчетов о движении средств по счетам (вкладам) в иных организациях финансового рынка за пределами территории Российской Федерации; установление возможности представления юридическими лицами – резидентами,  индивидуальными предпринимателями – резидентами отчетов по счетам (вкладам) за пределами Российской Федерации и подтверждающих документов к ним  в электронной форме и отмена обязанности по нотариальному заверению копий подтверждающих документов.
";индикативные показатели отсутствуют;индикативные показатели отсутствуют;индикативные показатели отсутствуют
96386;Отсутствует. ;(Показатель N.1);Отсутствует. ;Отсутствует. 
96415;"Внесение изменений в пункт 5 Положения 
о лицензировании фармацевтической деятельности
";отсутствуют;отсутствуют;отсутствуют
96424;отсутсвует;отсутсвует;отсутсвует;отсутсвует
96433;необходимо внесение изменений в приказ Министерства строительства и жилищно-коммунального хозяйства Российской Федерации от 25 апреля 2017 г. № 741/пр;нет;нет;нет
96454;-;-;нет;нет
96458;-;-;нет;нет
96462;-;-;-;-
96483;"Внесение изменений в пункт 5 Положения о лицензировании фармацевтической деятельности
";отсутствуют;отсутствуют;отсутствуют
96485;-;-;-;-
96488;-;-;-;-
96542;Результативность и эффективность использования субсидий из федерального бюджета бюджетам субъектов Российской Федерации в целях софинансирования расходных обязательств субъектов Российской Федерации, связанных с реализацией мероприятий государственных программ (подпрограмм государственных программ) субъектов Российской Федерации в области обращения с отходами;Отсутствуют;Отсутствуют;Отсутствуют
96561;-;-;-;-
96563;Уточнение перечня требований к промышленной продукции, предъявляемых в целях ее отнесения к продукции, произведенной в Российской Федерации, в отношении турбин газовых, кроме турбореактивных и турбовинтовых (мощностью 35 МВт и более) и установок генераторных с газотурбинным двигателем мощностью 500 МВт и более;Необходимость в индикативных показателях отсутствует;Отсутствуют;Отсутствуют
96574;-;-;-;-
96586;-;-;-;-
96597;"Утверждение требований к оформлению материалов первичной и периодической аттестации эталонов единиц величин, используемых в сфере государственного
регулирования обеспечения единства измерений,
требований к оформлению правил содержания и применения эталонов единиц величин, используемых в сфере государственного регулирования обеспечения единства измерений , требований к содержанию и построению государственных и локальных поверочных схем, к их разработке, утверждению и изменению 
";Информация отсутствует ;Информация отсутствует ;Информация отсутствует 
96649;-;-;-;-
96651;Отсутствует;Отсутствует;Отсутствует;Отсутствует
96660;Cоздание единого порядка осуществления государственного контроля (надзора) в сфере железнодорожного транспорта и повышение значимости ответственности всех организаций железнодорожного комплекса, сокращение имиджевых рисков и обеспечение стабильной и устойчивой работы железнодорожного транспорта.;"информация
отсутствует";"информация
отсутствует";"информация
отсутствует"
96672;-;-;-;-
96710;-;-;-;-
96750;-;-;-;-
96751;-;-;-;-
96784;-;-;-;-
96785;Установление полномочий Росздравнадзора по проведению контрольных закупок в сфере здравоохранения (оказания медицинских услуг);Отсутствуют;Отсутствуют;Отсутствуют
96787;"- исключение из видов деятельности в области обеспечения единства измерений, подлежащих аккредитации, работ (услуг) по аттестации первичных референтных и референтных методик (методов) измерений и обязательной метрологической экспертизе стандартов, продукции, проектной, конструкторской, технологической документации и других объектов, проводимой в случаях, предусмотренных законодательством Российской Федерации;
- исключение ведомственного регулирования измерений, относящихся к сфере государственного регулирования обеспечения единства измерений, перенос утверждения перечня измерений и требований к ним с ведомственного уровня на уровень Правительства Российской Федерации;
- снятие ограничений по сроку действия утверждения типа для стандартных образцов и средств измерений;
- снятие нагрузки с юридических лиц, при проведении ими работ в области обеспечения единства измерений за пределами Российской Федерации.
";Информация отсутствует ;Информация отсутствует ;Информация отсутствует 
96789;"Утверждение порядка, состава и способов размещения застройщиками в единой информационной системе жилищного строительства проектной документации 
и результатов инженерных изысканий, в отношении которых заключения экспертизы были получены до 1 июля 2018 г., который должен быть подготовлен в форме проекта постановления Правительства Российской Федерации, которым вносятся изменения в постановление Правительства Российской Федерации от 26 марта 2019 г. 
№ 319 «О единой информационной системе жилищного строительства».
";отсутствуют;отсутствуют;отсутствуют
96793;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
96804;-;-;-;-
96843;В целях увеличения площади водных объектов, на которых можно будет осуществлять аквакультуру (рыбоводство). Формирование новых рыбоводных участков будет способствовать развитию товарной аквакультуры (товарного рыбоводства) в Российской Федерации. Законопроектом предлагается установить особенности использования водного объекта или его части, предусматривающие одновременное использование водных объектов или их частей для целей рыболовства и аквакультуры (рыбоводства) (за исключением пастбищной аквакультуры в отношении анадромных видов рыб, перечень которых утвержден в соответствии со статьей 29.1 Закона о рыболовстве).;"Увеличение произ-водста объектов аквакультуры
Количество заключенных договоров пользования рыбоводным участком.
";Тонна. Штуки;Сравнение показателей за текущий год к отчетному году
96849;-;-;-;-
96853;Показатели не предусматриваются;-;-;-
96856;нет;нет;нет;нет
96890;Нет;Нет;Нет;Нет
96924;-;-;-;-
96946;-;-;-;-
96949;--;--;--;--
96952;Проект постановления разработан с целью систематизации и актуализации обязательных требований, соблюдение которых подлежит проверке при осуществлении государственного контроля (надзора) в сфере обращения лекарственных средств.;Отсутствуют;Отсутствуют;Отсутствуют
96968;налоговые органы вправе информировать налогоплательщиков о наличии недоимки и (или) задолженности по пеням, штрафам, процентам посредством СМС-сообщений и (или) электрон-ной почты и (или) иными способами, не противоречащими законодательству Российской Феде-рации, не чаще одного раза в квартал при условии получения их согласия на такое информирование в письменной форме в соответствии с Федеральным законом от 29.09.2019 № 325-ФЗ «О внесении изменений в части первую и вторую Налогового кодекса Российской Федерации» (пункт 7 статьи 31 Налогового кодекса Российской Федерации);-;-;-
96973;Корректировка требований, содержащихся в Правилах, утвержденных постановлением № 719, а также дополнение приложения к постановлению № 719;Отсутствуют;Отсутствуют;Отсутствуют
96976;нет;нет;нет;нет
96980;"Утверждаются правила выплаты возмещения гражданам, являющимся членами жилищно-строительного кооператива или иного специализированного потребительского кооператива, который создан в соответствии со статьей 20110 Федерального закона 
№ 127-ФЗ и которому были переданы права застройщика на объект незавершенного строительства и земельный участок (далее соответственно – возмещение, кооператив), в том числе порядок обращения кооператива для выплаты возмещения, перечень документов, необходимых для выплаты возмещения, и основания принятия публично-правовой компанией «Фонд защиты прав граждан – участников долевого строительства» (далее – Фонд) решения о выплате возмещения гражданину, являющемуся членом кооператива.
";отсутствуют;отсутствуют;отсутствуют
96996;-;-;-;-
97016;"Исключение возможности перевозок пассажиров без соответствующей регистрации в качестве юридического лица или индивидуального предпринимателя, без лицензии на осуществление перевозок пассажиров и иных лиц автобусами,
и иных разрешительных документов.";Осуществление предпринимательской деятельности  в области перевозок пассажиров без государственной регистрации в качестве индивидуального предпринимателя или без государственной регистрации в качестве юридического лица.;Количество постановлений об административному правонарушении;-
97022;") Обеспечение распространения особенностей, установленных в Постановлении на заинтересованные субъекты Дальневосточного федерального округа, а именно: Амурскую область, Республику Саха (Якутия), Камчатский край, Хабаровский край, Приморский край, а также Республику Татарстан; 

2) Обеспечение заявителям различных возможностей подачи единой заявки, для получения технических условий, заключения договоров о подключении (технологическом присоединении) объектов капитального строительства к сетям инженерно-технического обеспечения, а также в целях получения актов о технологическом присоединении, проект постановления предусматривает возможность подачи заявителем такой единой заявки в электронной форме не только с использованием региональных порталов государственных и муниципальных услуг, но и при помощи единого портала государственных и муниципальных услуг.
";Отсутствуют;Отсутствуют;Отсутствуют
