regulation_project_id;Описание новых или изменения существующих функций, полномочий, обязанностей или прав;Порядок реализации;Оценка изменения трудозатрат и (или) потребностей в иных ресурсах;Наименование органа
79351;обеспечение функционирования и готовности специализированных организаций активного воздействия на метеорологические и другие геофизические процессы, находящихся в ведении Службы;в соответствии с Положением, утверждаемым Росгидрометом по согласованию с МЧС России;в пределах установленной штатной численности и бюджетных ассигнований, предусматриваемых в федеральном бюджете;Росгидромет
79353;"Утверждение графиков поэтапного равномерного доведения цены на тепловую энергию до цены ""альтернативной котельной"", исполнение соглашения об исполнении схемы теплоснабжения";"В ценовых зонах теплоснабжения графики поэтапного равномерного доведения до цены «альтернативной котельной» утверждаются высшим должностным лицом субъекта Российской Федерации (руководителем высшего исполнительного органа государственной власти субъекта Российской Федерации) на срок не более чем 10 лет в случае, если в указанной ценовой зоне теплоснабжения одновременно выполняются условия, предусмотренные 
Проектом постановления.
Одним из условий соглашения об исполнении схемы теплоснабжения может быть обязательство единой теплоснабжающей организации при определении цен на тепловую энергию (мощность), поставляемую единой теплоснабжающей организацией потребителям, применить к предельному уровню цены на тепловую энергию (мощность) понижающий коэффициент. Размер такого коэффициента и срок его применения определяются сторонами соглашения об исполнении схемы теплоснабжения в порядке, который устанавливается Проектом постановления.";отсутствуют;Органы исполнительной власти субъектов Российской Федерации, органы местного самоуправления поселений, городских округов и органы исполнительной власти субъектов Российской Федерации в области государственного регулирования тарифов
79355;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
79362;нет;В соответствии с внесенными изменениями в правила рыболовства для Дальневосточного рыбохозяйственного бассейна, утвержденные приказом Министерства сельского хозяйства Российской Федерации от 21 октября 2013 г. № 385 ;нет;Федеральные органы исполнительной власти и органы исполнительной власти субъектов Российской Федерации
79379;"(N.1)
(N.K)";не предусмотрено;-;(Орган N)
79387;Не требуется;Не требуется;Не требуется;Ростехнадзор
79396;отсутствует;отсутствует;отсутствует;отсутствует
79400;Необходимость  в новых или в изменении существующих функций, полномочий, обязанностей или прав отсутствует.;Необходимость разработки порядка реализации отсутствует.;Необходимость в оценке изменения трудозатрат и (или) потребностей в иных ресурсах отсутствует.;Отсутствует
79401;Не изменяется;В рамках полномочий, установленных Положением о Минприроды России, утвержденным постановлением Правительства Российской Федерации от 11 ноября 2015 г. № 1219;В пределах бюджетных ассигнований федерального бюджета, предусмотренных Минприроды России на 2016 год и последующие годы, без увеличения предельной численности работников  и фонда оплаты труда;Минприроды России
79402;Не изменяется;В рамках полномочий, установленных Положением о Минприроды России, утвержденным постановлением Правительства Российской Федерации от 11 ноября 2015 г. № 1219;В пределах бюджетных ассигнований федерального бюджета, предусмотренных Минприроды России на 2018 год и последующие годы, без увеличения предельной численности работников  и фонда оплаты труда;Минприроды России
79417;Изменения, связанные с порядком налогообложения кредитных организаций.;-;-;Федеральная налоговая служба и ее территориальные органы (налоговые органы)
79418;Не предусматривается;-;-;-
79428;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
79441;новые функции, полномочия, права и обязанности органов не вводятся;Нет;Нет;Отсутствует
79443;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
79455;новые функции, полномочия, права и обязанности органов не вводятся;Нет;Нет;отсутствует
79461;Отсутствует ;Отсутствует ;Отсутствует ;Отсутствует 
79462;Отсутствуют;Отсутствуют;Отсутствуют;Федеральная служба по труду и занятости
79483;Отсутствуют;Отсутствуют;Отсутствуют;Федеральная служба по труду и занятости
79487;Отсутствуют;Отсутствуют;Отсутствуют;Федеральная служба по труду и занятости
79492;нет;В соответствии с внесенными изменениями в правила рыболовства для Дальневосточного рыбохозяйственного бассейна, утвержденные приказом Министерства сельского хозяйства Российской Федерации от 21 октября 2013 г. № 385;нет;Федеральные органы исполнительной власти и органы исполнительной власти субъектов Российской Федерации
79494;Отсутствует;Отсутствует;Отсутствует;Отсутствует
79585;Отсутствует;Отсутствует;Отсутствуют;Не требуется
79603;"Функции, полномочия, обязанности и права не из-меняются.
";В рамках существующих полномочий. ;Не требуется ;уточняется
79616;Положение о государственном ветеринарном надзоре, утвержденное Постановлением Правительства Российской Федерации от 05.06.2013 № 476 устанавливает поря-док осуществления уполномоченными федеральными органами исполни-тельной власти государственного ветеринарного надзора, который направлен на предупреждение, выявление и пресечение нарушений органами государственной власти, органами местного самоуправления, юридическими лицами, их руководителями и иными должностными лицами, индивидуальными предпринимателями, их уполномоченными представителями и гражданами требований в области ветеринарии. Тем самым функции, полномочия, обязанности и права не изменяются.;В рамках существующих полномочий, согласно Положению о государственном ветеринарном надзоре, утвержденному Постановлением Правительства Российской Федерации от 05.06.2013 № 476.;Так как новых функций, полномочий, обязанностей и прав федеральных органов исполнительной власти, органов государственной власти субъектов Российской Федерации и органов местного самоуправления Правила не устанавливают, изменений трудозатрат и (или) потребностей в иных ресурсах не требуется;Минсельхоз России, Россельхознадзор
79618;информация уточняется;информация уточняется;информация уточняется;информация уточняется
79621;информация уточняется;информация уточняется;информация уточняется;информация уточняется
79652;-;-;-;-
79661;Государственный контроль (надзор) за соблюдением требований Правил организации безопасного использования и содержания лифтов, подъемных платформ для инвалидов, пассажирских конвейеров (движущихся пешеходных дорожек) и эскалаторов, за исключением эскалаторов в метрополитенах;"в соответствии с федеральным законом от 26.12.2008 № 294 ""О защите прав юридических лиц и индивидуальных предпринимателей при осуществлении государственного контроля (надзора) и муниципального контроля""";изменений отсутствуют;"Федеральная служба по экологическому, технологическому 
и атомному надзору, Министерство обороны Российской Федерации, Федеральная служба исполнения наказаний, Федеральная служба безопасности Российской Федерации, Федеральная служба охраны Российской Федерации, Служба внешней разведки Российской Федерации и Главное управления специальных программ Президента Российской Федерации"
79667;нет;нет;нет;нет
79668;учет уведомлений о начале осуществления деятельности по монтажу, демонтажу, эксплуатации (обслуживанию и ремонту) лифтов, подъемных платформ для инвалидов, пассажирских конвейеров (движущихся пешеходных дорожек), эскалаторов, за исключением эскалаторов в метрополитенах;"в соответствии с федеральным законом от 26.12.2008 № 294 ""О защите прав юридических лиц и индивидуальных предпринимателей при осуществлении государственного контроля (надзора) и муниципального контроля""";изменений отсутствуют;Ростехнадзор
79676;Принятие приказа не приведет к изменению функций, полномочий, обязанностей и прав федеральных органов исполнительной власти, органов государственной власти субъектов российской федерации и органов местного самоуправления;-;-;-
79680;нет;нет;нет;нет
79683;-;-;-;новые функции, полномочия, обязанности и права федеральных органов исполнительной власти, органов государственной власти субъектов Российской Федерации и органов местного самоуправления не возникают
79688;отстсвуют;отсутсвует;отсутсвует;новые функции, полномочия, обязанности и права федеральных органов исполнительной власти, органов государственной власти субъектов Российской Федерации и органов местного самоуправления не возникают
79694;Отсутствуют;Отсутствует;Отсутствует;Отсутствует
79696;Законопроект не предполагает расширение государственных функций Минтранса России ;Внесение изменений в постановление Правительства Российской Федерации от 26 сентября 2016 года № 969 не потребует увеличения числа сотрудников и выделения дополнительных средств из федерального бюджета на административные расходы, необходимые для осуществления указанных дополнительных функций Министерством транспорта Российской Федерации.;-;Внесение изменений (дополнений) в Положение о Министерстве транспорта Российской Федерации, утвержденное постановлением Правительства Российской Федерации от 30 июля 2004 г. № 395 не требуется.
79702;Не предусмотрено;Не предусмотрено;Не предусмотрено;-
79719;составление протоколов об административных правонарушениях в сфере похоронного дела;В порядке, определённом Кодексом Российской Федерации об административных правонарушениях;Не требуется;федеральный антимонопольный орган и его территориальные органы, судьи
79784;Отсутствуют;Отсутствуют;Отсутствуют ;Росрыболовство
79790;Не предполагается;Не предполагается;Не предполагается;Не предполагается
79802;-;-;-;-
79827;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
79832;-;-;-;отсутствует
79851;отсутствует;отсутствует;отсутствует;-
79853;-;-;-;-
79854;Нет;Нет;Нет;Принятие федерального закона не повлечет возникновение новых функций, полномочий, прав и обязанностей органов государственной власти и местного самоуправления
79858;-;-;-;-
79862;Принятие постановления не приведет к установлению новых функций, полномочий, обязанностей и прав федеральных органов исполнительной власти, органов государственной власти субъектов Российской Федерации и органов местного самоуправления.;-;-;-
79875;-;отсутствует;отсутствует;-
79880;полномочия по определению процентного соотношения площадей закрепленных и общедоступных охотничьих угодий органам государственной власти субъектов Российской Федерации;в порядке, установленном уполномоченным органом исполнительной власти субъектов Российской Федерации;не потребует трудозатрат;высшие должностные лица, уполномоченные органы исполнительной власти субъектов Российской Федерации, осуществляющие полномочия в сфере охоты и сохранения охотничьих ресурсов
79888;Принятие приказа Минтранса России не приведет к установлению новых функций, полномочий, обязанностей и прав федеральных органов исполнительной власти, органов государственной власти субъектов Российской Федерации и органов местного самоуправления;-;-;-
79895;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
79916;-;-;-;-
79920;-;-;-;принятие приказа не приведет к изменению функций, полномочий, обязанностей и прав федеральных органов исполнительной власти, органов государственной власти субъектов российской федерации и органов местного самоуправления
79934;Обязанность юридических лиц и индивидуальных предпринимателей по заполнению формы заявки для постановки на государственный учет объектов, оказывающих негативное воздействие на окружающую среду не является новой, так как установлена Федеральным законом от 21.07.2014 № 219-ФЗ «О внесении изменений в Федеральный закон «Об охране окружающей среды» и отдельные законодательные акты Российской Федерации» (далее – Закон № 219-ФЗ).;Реализуются в соответствии с Федеральным законом от 21.07.2014 № 219-ФЗ «О внесении изменений в Федеральный закон «Об охране окружающей среды» и отдельные законодательные акты Российской Федерации» и принятыми в его реализацию подзаконными и ведомственными актами.;Трудозатраты и потребности в ресурсах  на реализацию указанных полномочий останутся без изменений.;Федеральная служба по надзору в сфере природопользования (Росприроднадзор)
79934;-;-;-;Федеральная служба по надзору в сфере природопользования (Росприроднадзор)
79937;-;-;-;Отсутствуют 
79968;"Распространение действия статьи 226.1 Уголовного кодекса Российской Федерации на незаконное перемещение через таможенную границу Таможенного союза в рамках ЕврАзЭС либо Государственную границу Российской Федерации с государствами - членами Таможенного союза в рамках ЕврАзЭС готовых продуктов из рыбы или ракообразных, моллюсков или прочих водных беспозвоночных (товарные позиции 1604, 1605 ТН ВЭД ЕАЭС), а также филе рыбного и прочего мяса рыб, включая фарш (товарная позиция 0304 ТН ВЭД ЕАЭС); рыбы сушеной, соленой или в рассоле, копченой, не подвергнутой или подвергнутой тепловой обработке (товарная позиция 0305 ТН ВЭД ЕАЭС) из других видов водных биологических ресурсов.";В соответствии с действующим законодательством;Реализация данного проекта постановления будет осуществляться в пределах установленной штатной численности соответствующих органов власти и не потребует выделения дополнительных ассигнований из федерального бюджета.;ФТС России, ФСБ России, МВД России
79972;Необходимость  в новых или в изменении существующих функций, полномочий, обязанностей или прав отсутствует.;Необходимость разработки порядка реализации отсутствует.;Необходимость в оценке изменения трудозатрат и (или) потребностей в иных ресурсах отсутствует.;Отсутствует
79981;(N.1);отсутствует;отсутствует;(Орган N)
79981;(N.K);отсутствует;отсутствует;(Орган N)
79993;нет;нет;нет;нет
79996;-;-;-;-
80010;наделение Министерства культуры Российской Федерации и Министерства цифрового развития, связи и массовых коммуникаций Российской Федерации полномочием на утверждение порядков доставки, хранения, учёта обязательного экземпляра аудиовизуальной продукции, а также требований к формату носителя и к экземпляру доставляемой аудиовизуальной продукции;издание соответствующих приказов;разработка приказов будет осуществляться штатными сотрудниками Министерства культуры Российской Федерации и Министерства цифрового развития, связи и массовых коммуникаций Российской Федерации.;Министерство культуры Российской Федерации и Министерство цифрового развития, связи и массовых коммуникаций Российской Федерации
80016;Отсутствуют.;Отсутствуют.;Отсутствуют.;Отсутствуют.
80081;информация уточняется;информация уточняется;информация уточняется;информация уточняется
80110;Внесение  в Правительство Российской Федерации предложения о создании регионального финансового центра свободного порта Владивосток ;Внесение в Правительство Российской Федерации предложение с приложением соответствующих обоснований и согласований;Объем трудозатрат не изменяется, необходимости в иных ресурсах нет ;Министерство Российской Федерации по развитию Дальнего Востока
80110;Согласование предложения о создании регионального финансового центра свободного порта Владивосток ;Осуществление согласования предложения о создании регионального финансового центра Владивосток;Объем трудозатрат не изменяется, необходимости в иных ресурсах нет ;Высший исполнительный орган власти субъекта Российской Федерации, на территории которого создается региональный финансовый центр свободного порта Владивосток 
80123;нет;-;-;-
80132;__________________________________________________________________________;__________________________________________________________________________;__________________________________________________________________________;________________________________________________________________________________________________________________________________________________________
80166;нет;нет;нет;нет
80167;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствует
80172;-;-;-;-
80182;Не предусмотрены;Не предусмотрены;Не предусмотрены;Не предусмотрены
80183;(N.1);отсутствует;отсутствует; (Орган N)
80183;(N.K);отсутствует;отсутствует; (Орган N)
80192;-;-;-;-
80263;"1. Рассмотрение заявок на получение права пользования недрами для целей размещения в пластах горных пород вод, образующихся у пользователей недр, осуществляющих разведку и добычу, а также первичную переработку калийных природных и магниевых солей.
2. Решение уполномоченного органа исполнительной власти субъекта Российской Федерации о предоставлении права пользования участком недр местного значения для геологического изучения и оценки пригодности участка недр для строительства и эксплуатации подземных сооружений местного и регионального значения, не связанных с добычей полезных ископаемых.";"1. Будут внесены изменений в Порядок рассмотрения заявок на получение права пользования недрами для целей строительства нефте- и газохранилищ в пластах горных пород и эксплуатации таких нефте- и газохранилищ, для размещения отходов производства и потребления, для размещения в пластах горных пород попутных вод и вод, использованных пользователями недр для собственных производственных и технологических нужд, при разведке и добыче углеводородного сырья, утвержденный приказом Минприроды России от 27.04.2015 № 193».
2. Будут внесены изменения в нормативные правовые акты субъектов Российской Федерации";Информация отсутствует;Роснедра, уполномоченный орган исполнительной власти субъекта Российской Федерации
80274;Проектом приказа вносится изменения в приказ Минсельхоза России от 13 декабря 2016 г. № 552 ;"В соответствии с Законом о рыболовстве и постановлением Правительства 
Российской Федерации от 28 июня 2008 г. № 484 «О порядке разработки 
и утверждения нормативов качества воды водных объектов рыбохозяйственного значения, в том числе нормативов предельно допустимых концентраций вредных веществ в водах водных объектов рыбохозяйственного значения»";В пределах установленной Правительством Российской Федерации предельной численности работников центральных аппаратов.В пределах установленной Правительством Российской Федерации предельной численности работников центральных аппаратов.;Минсельхоз России 
80277;Распределение и закрепление квот добычи (вылова) водных биологических ресурсов на инвестиционные цели в области рыбоводства в отношении нового типа судов для добычи (вылова) минтая и сельди тихоокеанской.   ;"Постановление Правительства Российской Федерации от 11 июня 2008 № 444 ""О Федеральном агентстве по рыболовству"" ";В пределах установленной Правительством Российской Федерации предельной численности работников центральных аппаратов.;Росрыболовство
80290;мероприятия по контролю, в ходе которых осуществляются действия по созданию ситуации для совершения сделки в целях установления юридического лица, индивидуального предпринимателя или иностранного лица, осуществляющего деятельность по организации и проведению лотерей, деятельность по организации и проведению азартных игр с нарушением законодательства Российской Федерации либо установления факта наличия (отсутствия) на доменных именах и (или) указателях страниц сайтов в информационно-телекоммуникационной сети «Интернет», а также сетевых адресах, информации, распространение которой в Российской Федерации запрещено, в отношении информации, нарушающей требования Федерального закона № 138-ФЗ и Федерального закона № 244-ФЗ о запрете деятельности по организации и проведению лотерей, деятельности по организации и проведению азартных игр с использованием сети «Интернет» и иных средств связи, в том числе путем заключения договора об участии в лотерее и получения выигрыша по результатам розыгрыша призового фонда лотереи, а также заключения основанного на риске соглашения о выигрыше и получения выигрыша по результатам азартной игры с использованием наличных денежных средств и (или) электронных средств платежа;законопроект;-;ФНС России
80290;контрольные закупки при осуществлении указанным ведомством федерального государственного надзора за проведением лотерей и федерального государственного надзора в области организации и проведения азартных игр ;статья 161 Федерального закона № 294-ФЗ                         «О защите прав юридических лиц и индивидуальных предпринимателей при осуществлении государственного контроля (надзора) и муниципального контроля».;-;ФНС России
80291;Минкультуры, Росздравнадзор, Рособрнадзор, Роспатент, Роскомнадзор, Росстандарт;Составление протоколов об административных правонарушениях;не предвидется;Составление протоколов об административных правонарушениях
80310;Отсутствуют;Отсутствуют;изменения трудозатрат отсутствуют;уполномоченный федеральный орган исполнительной власти, осуществляющий государственное регулирование в области долевого строительства многоквартирных домов и (или) иных объектов недвижимости
80313;отсутствует;отсутствует;отсутствует; 
80315;Аттестация эталонов единиц величин, в состав которых входят средства измерений неутвержденных типов;через подведомственное организации;Отсутствует;Росстандарт
80319;-;-;-;-
80323;-;-;-;-
80328;нет;нет;нет ;нет
80334;-;-;-;-
80337;Бывшие служащие Центрального банка Российской Федерации;В рамках нормативных актов Банка России ;В пределах штатной численности сотрудников;Минтруд России, Минэкономразвития России и Банк России
80339;Бывшие служащие Центрального банка Российской Федерации;-;В пределах штатной численности сотрудников;-
80365;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
80369;Появление новых функций, полномочий, обязанностей или прав не предусмотрено;Отсутствует;0;Министерство экономического развития Российской Федерации (Минэкономразвития России)
80371;Не предусмотрены;-;-;-
80372;нет;нет;нет;нет
80376;Исключение полномочий Роскомнадзора по  лицензированию деятельности по изготовлению экземпляров аудиовизуальных произведений, программ для электронных вычислительных машин (программ для ЭВМ), баз данных и фонограмм на любых видах носителей (за исключением случаев, если указанная деятельность самостоятельно осуществляется лицами, обладающими правами на использование указанных объектов авторских и смежных прав в силу федерального закона или договора).;-;Реализация законопроекта не потребует дополнительного финансирования из государственного бюджета.;Роскомнадзор
80377;Ространснадзор;Осуществление предусмотренных Федеральным законом от 26.12.2008 № 294-ФЗ полномочий по проведению плановых (рейдовых) осмотров, обследований транспортных средств в процессе их эксплуатации на соответствие требованиям в области транспортной безопасности установленных Порядком оформления плановых (рейдовых) заданий на осмотр, обследование транспортных средств (судов и иных плавучих средств, находящихся на внутренних водных путях и в акваториях портов, во внутренних морских водах, в территориальном море, исключительной экономической зоне Российской Федерации, автомобильного и городского наземного электрического транспорта, подвижного состава железнодорожного транспорта, воздушных судов) в процессе их эксплуатации на соответствие требованиям в области транспортной безопасности, содержание таких заданий, а также порядком оформления результатов плановых (рейдовых) осмотров, обследований.;нет;Ространснадзор
80385;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
80392;Обязанности по размещению информации в ГИС ЖКХ;Уточнение состава размещаемой информации;Оценка не проводилась;Органы власти субъектов Российской Федерации и органы местного самоуправления.
80398;Органы государственной власти, уполномоченные на лицензирование пользования недрами;В рамках текущих полномочий;Дополнительных трудоза-трат и (или) потребностей в иных ресурсах не потребуется;Новых или изменений су-ществующих функций, полномочий, обязанностей или прав не предусматри-вается
80403;Установление и закрепление в Налоговом кодексе Российской Федерации размеров государственной пошлины не повлечет установления новых или изменения существующих функций, полномочий, обязанностей или прав этих органов государственной власти субъектов Российской Федерации.;В соответствии с законодательством Российской Федерации о налогах и сборах ;Не предусмотрено;Уполномоченные органы исполнительной власти субъектов Российской Федерации
80404;Зачисление средств в бюджеты субъектов Российской Федерации от уплаты государственной пошлины, взимаемой за действия уполномоченных органов исполни-тельной власти субъектов Российской Федерации, связанные с регистрацией самоходных машин и иных других видов техники, аттракционов, не повлечет новых функций, полномочий, обязанностей и прав у органов исполнительной власти субъектов Российской Федерации.;В соответствии с законом о федеральном бюджете Российской Федерации на соответствующий год. ;Не предусмотрено;Органы государственного надзора за техническим со-стоянием самоходных машин и других видов техники
80406;отсутствует;отсутствует;отсутствует;отсутствует
80425;"Изменение порядка осуществления контрольных функций в области регулирования тарифов и контроля за реализацией инвестиционных программ, Снижение трудозатрат в связи с обособлением тарифной выручки на специальном счёте и формализацией процедур контроля, налаживанием межведомственного взаимодействия
";Открытие и обслуживание специальных счетов организаций;-;"Органы государственного регулирования цен (тарифов), органы, уполномоченные на осуществление контроля за реализацией инвестиционных программ,
Территориальные органы Федерального казначейства"
