regulation_project_id;Группа участников отношений;Описание новых или изменения содержания существующих обязанностей и ограничений;Описание и оценка видов расходов (доходов)
79702;-;-; 
79719;Организации, осуществляющие деятельность в сфере похоронного дела;-; 
79784;Организации и физические лица, в том числе индивидуальные предприниматели, соответствующие требованиям Федерального закона от 20 декабря 2004 г. № 166-ФЗ «О рыболовстве и сохранении водных биологических ресурсов» и участвующие в процедуре распределения и закрепления квот добычи (вылова) водных биологических ресурсов на инвестиционные цели;Исключение представителей ФАС России из состава Комиссии и рабочей групп по отбору инвестиционных проектов по строительству судов рыбопромыслового флота, построенных на российских судостроительных верфях, и (или) предприятий как имущественных комплексов, предусмотренных статьей 132 Гражданского кодекса Российской Федерации, предназначенных для производства рыбной и иной продукции и построенных на территории Российской Федерации; 
79790;Банки и иные кредитные организации;Отмена права взимания комиссионного сбора за перечисление курортного сбора в бюджет субъекта Российской Федерации; 
79802;-;-; 
79827;Организация по управлению ЕНЭС, собственники или иные законные владельцы объектов электросетевого хозяйства, соответствующих критериям отнесения к ЕНЭС;Уточнение оснований для отказа в отнесении объекта электросетевого хозяйства к единой национальной (общероссийской) электрической сети и во включении его в реестр; 
79832;Управляющие организации;указаны в проекте акта; 
79851;лица,осуществляющие производство и оборот алкогольной продукции;отсутствуют  ; 
79853;Индивидуальные предприниматели и юридические лица, являющиеся производителями, импортерами товаров;Новые обязанности не вводятся. Вносимые в проект постановления изменения направлены на конкретизацию  в постановлении № 255 механизма определения платежной базы при расчете платы за сбросы загрязняющих веществ в водные объекты в ИЭЗ ;0,00р.
79854;Субъекты предпринимательской и иной экономической деятельности;Принятие федерального закона не повлечет возникновения расходов и доходов субъектов предпринимательской и иной экономической деятельности;0,00р.
79858;Принятие приказа не приведет к дополнительным расходам субъектов предпринимательской и иной экономической деятельности, связанных с необходимостью соблюдения установленных обязанностей или ограничений.;-; 
79862;Принятие постановления не приведет к дополнительным расходам субъектов предпринимательской и иной экономической деятельности, связанных с необходимостью соблюдения установленных обязанностей или ограничений.;-; 
79875;Организации, признаваемые сельскохозяйственными товаропроизводителями;-; 
79880;-;-; 
79888;Принятие приказа Минтранса России не приведет к дополнительным расходам субъектов предпринимательской и иной экономической деятельности, связанных с необходимостью соблюдения установленных обязанностей или ограничений.;-; 
79895;Информация отсутствует;Информация отсутствует; 
79916;-;-; 
79920;-;-; 
79934;Юридические и индивидуальные предприниматели в обязанность которых входит постановка на государственный учет объектов, оказывающих негативное воздействие на окружающую среду, а также федеральные и региональные органы исполнительной власти, наделенные полномочиями по  постановке на государственный учет объектов, оказывающих негативное воздействие на окружающую среду и осуществлению государственного экологического надзора.;Расходы и доходы участников отношений не изменятся.; 
79937;Участники закупок, осуществляющие закупки в соответствии с Федеральным законом от 18.07.2011 № 223-ФЗ;-; 
79968;Юридические лица и индивидуальные предприниматели;Отсутствуют;0,00р.
79972;Производители отдельных видов промышленной продукции;Необходимость учета  утверждаемых требований к промышленной продукции, предъявляемых в целях ее отнесения к продукции, произведенной в Российской Федерации; 
79981;1) федеральные бюджетные учреждения, осуществляющие розничную продажу алкогольной продукции;(N.1);(N.K)
79993;Юридические лица и индивидуальные предприниматели;Соблюдение требований к сохранению водных биоресурсов в водных объектах Волжско-Каспийского рыбохозяйственного бассейна.; 
79996;-;-; 
80010;отсутствуют;отсутствуют; 
80016;Юридические и физические лица (или индивидуальные предприниматели) осуществляющие деятельность связанную с карантином растений.;Отсутствует.; 
80081;информация уточняется;информация уточняется; 
80110;________________________________________________________________________;____________________________________________________________________________; 
80123;-;-; 
80132;________________________________________________________________________;____________________________________________________________________________; 
80166;отсутствуют;отсутствуют; 
80167;Отсутствуют;нет; 
80172;-;-; 
80182;Не предусмотрены;Не предусмотрены; 
80183;индивидуальные предприниматели осуществляющие оборот пивоваренной продукции;(N.1);(N.K)
80192;Операторы, региональные операторы ;Новые обязанности не вводятся.  Вносимые в Постановление № 913   изменения направлены на уменьшение размеров ставок платы за размещение твердых коммунальных отходов с последующим увеличением  такой ставки на 15% в течение 7 лет, а также на установление размера ставки платы по иным видам негативного воздействия на окружающую среду на 2019 год в размере 104 % от уровня 2018 года. Вносимые в Постановление № 484 изменения  направлены на изменение порядка учета в тарифах операторов расходов на плату за негативное воздействие, исходя из принципа сохранения операторами и региональными операторами  разницы между планируемой и фактической суммой платы за негативное воздействие, достигнутой в результате осуществления мероприятий по утилизации и обезвреживанию твердых коммунальных отходов.;0,00р.
80263;Пользователи недр;Информация отсутствует; 
80274;Хозяйствующие субъекты;Возможность применять новые ПДКрх при осуществлении хозяйственной деятельности. ;0,00р.
80277;Росрыболовство;Рассматривать заявки  на закрепление квот добычи (вылова) в отношении минтая и сельди тихоокеанской на инвестиционные цели в области рыбоводства.    ;0,00р.
80277;Рыбодобывающие компании;Возможность подавать заявки  на закрепление квот добычи (вылова) в отношении минтая и сельди тихоокеанской на инвестиционные цели в области рыбоводства.    ;0,00р.
80290;-;-; 
80291;производители документов;нет;0,00р.
80310;отсутствуют;отсутствуют; 
80313;отсутствует;отсутствует; 
80315;Юридические лица и индивидуальные предприниматели - держатели эталонов единиц величин;упрощение процедуры аттестации эталонов для их держателей; 
80319;Юридические лица, осуществляющие деятельность при обращении биомедицинских клеточных продуктов;-; 
80323;Юридические лица, осуществляющие деятельность при обращении биомедицинских клеточных продуктов;-; 
80328;нет;нет; 
80334;(Группа участников отношений N);(N.1);(N.K)
80337;Бывшие служащие Центрального банка Российской Федерации;В рамках нормативных актов Банка России; 
80339;Бывшие служащие Центрального банка Российской Федерации;-; 
80365;Информация отсутствует;Информация отсутствует; 
80369;Отсутствует;Отсутствует; 
80371;Не предусмотрены;-; 
80372;нет;нет; 
80376;-;-; 
80377;нет;нет; 
80385;Информация отсутствует;Информация отсутствует; 
80392;-;-; 
80398;Пользователи недр;Оценка не проводилась; 
80403;Юридические лица и индивидаульные предприниматели.;Уплата государственной пошлины за совершение уполномоченными органами исполнительной власти субъектов Российской Феде-рации действий, связанных с государственной регистрацией аттракционов.; 
80404;Органы исполнительной власти субъектов Российской Федерации (органы государственного надзора за техничским состоянием самоходных машин и других видов техники);Распределение бюджетных средств бюджетной системы Российской Федерации.; 
80406;отсутствует;отсутствует; 
80425;-;Учитывая, что специальные счета открываются в органах Федерального казначейства, уровень расходов организаций, связанный  с их обслуживанием, поддаётся регулированию на федеральном уровне. ; 
80433;-арендаторы лесных участков осуществляющие заготовку древесины;-обязательство полного освоения расчетной лесосеки предусмотренной договором аренды лесного участка; 
80442;"1) лица, осуществляющие заполнение деклараций об объеме производтсва, поставки и (или) использующие для собственных нужд фармацевтическую субстанцию спирта этилового (этанола)
2) Росалкогольрегулироание";отсутсвуют;(N.K)
80445;Министерство труда и социальной защиты Российской Федерации (Минтруд России);Установление предлагаемого нормативного правового регулирования в отношении проведения специальной оценки условий труда рабочих мест выбранной группы работодателей; 
80445;Организации, проводящие специальную оценку условий труда ;Уточняется порядок проведения процедур специальной оценки условий труда у выбранной группы работодателей согласно предлагаемому нормативному правовому регулированию;0,00р.
80445;Работники, занятые у выбранной группы работодателей;Новые обязанности и ограничения не вводятся, действующие сохраняются ; 
80445;Работодатели организаций промышленности боеприпасов и спецхимии, а также ядерно опасных производств, деятельность которых связана с изготовлением и использованием в производственном процессе взрывчатых веществ и их компонентов;Новые обязанности и ограничения не вводятся, действующие уточняются с учетом вводимых рассматриваемым проектом нормативного правового акта особенностей проведения специальной оценки условий труда в части учета результатов указанной специальной оценки условий труда;0,00р.
80445;Федеральная служба по труду и занятости (Роструд);Новые обязанности и ограничения не вводятся, действующие сохраняются ; 
80452;отсутствуют;отсутствуют; 
80465;"контролер технического состояния  автотранспортных средств;
контролер технического состояния транспортных средств городского наземного электрического транспорта;
специалист, ответственный за обеспечение безопасности дорожного движения;
консультант по вопросам безопасности перевозки опасных грузов.";"Расширение квалификаций среднего профессионального образования, предусмотренных для контролеров технического состояния автотранспортных средств, и транспортных средств городского наземного электрического транспорта, расширение квалификаций высшего образования, предусмотренных для ответственного за обеспечение безопасности дорожного движения, консультанта по вопросам безопасности перевозки опасных грузов, а также допуск до осуществления функций специалиста, ответственного за обеспечение безопасности дорожного движения лиц, имеющих среднее профессиональное образование  (при соблюдении прочих равных условий) позволит сэкономить издержки указанных специалистов на прохождение переподготовки.
"; 
80466;Субъекты электроэнергетики;-; 
80467;Граждане;Соблюдение требований, предусмотренных изменениями вносимыми в правила рыболовства для Восточно-Сибирского рыбохозяйственного бассейна, утвержденных приказом Министерства сельского хозяйства Российской Федерации от 3 сентября 2014 г. № 348; 
80474;-;отсутствуют; 
80487;Отсутствуют;Отсутствуют; 
80488;Пользователи радиочастотным спектром;Изменение размера разовой платы и ежегодной платы за использование в Российской Федерации радиочастотного спектра; 
80489;нет;нет; 
80496;отсутствуют;отсутствуют;0,00р.
80499;отсутствуют;отсутствуют; 
80500;Профессиональные аварийно-спасательные службы (формирования);отстутствуют; 
80500;Профессиональные аварийно-спасательные службы, профессиональные аварийно-спасательные формирования, выполняющие горноспасательные работы;отсутствуют; 
80507;нет;нет; 
80513;Хозяйствующие субъекты;Разработка новых ПДКрх в соответствии с новыми методическими указаниями ;0,00р.
80523;Отсутствует;Отсутствует; 
80536;пользователи водных биоресурсов, осуществляющие рыболовство с использованием судов вместимостью менее 300 тонн, не осуществляющие плавание в районах Мирового океана выше 75 градусов северной широты и выше 75 градусов южной широты;проект приказа не предусматривает установления новых обязательств субъектов предпринимательской деятельности, а только переносит срок их выполнения на более поздний, что обусловлено опасениями представителей рыбодобывающей отрасли о невозможности выполнения соответствующих требований до 01.07.2018.;0,00р.
80544;"Организации и физические лица, в том числе индивидуальные предприниматели, соответствующие требованиям Федерального закона 
от 20 декабря 2004 г. 
№ 166-ФЗ 
«О рыболовстве и сохранении водных биологических ресурсов
";Законопроектом предусмотрено установление на основные промысловые (высокоосваивыемые) виды водных биологических ресурсов новых размеров ставок сбора за пользование видами основных промысловых объектов водных биоресурсов во внутренних водных объектах (реках, водохранилищах, озерах) и во внутренних морских водах, в территориальном море и исключительной экономической зоне Российской Федерации.  При установлении указанных новых значений экономическая эффективность влияния значения ставки определена на основе соотношения значения ставки сбора к средней цене производителей продукции из данного вида водных биоресурсов за предыдущие 3 года. При определении новых значений ставок применен единый подход. Новые значения ставок рассчитаны на уровне от 4,8% от средней цены производителей при реализации продукции из данного вида. При этом значения ставок по недоосваиваемым видам предлагается довести до уровня 150 рублей за тонну. Это минимальное значение из всех ставок, в настоящее время составляет 20 рублей. Новое значение рассчитано исходя из темпов инфляции за период, начиная с 2004 года по настоящее время. Также предусмотрен единый подход ко всем организационно-правовым формам юридических лиц по применению норм о льготе по уплате ставок сбора за пользование объектами водных биоресурсов.; 
80545;"Российские и иностранные физические лица;
российские организации;
должностные лица таможенных органов
";Нет сведений; 
80553;Лица, осуществляющие проектирование и строительство объектов капитального строительства.Федеральные органы исполнительной власти, региональные органы исполнительной власти субъектов Российской Федерации, органы местного самоуправления;не определено; 
80571;Юридические лица независимо от организационно-правовой формы и индивидуальные предприниматели, осуществляющие международные перевозки.;Отсутствуют.; 
80575;Уполномоченные экономические операторы;Сроки, способы и формы представления отчетности;0,00р.
80581;Производители лекарственных средств;Устанавливается возможность и условия выдачи принудительных лицензий на производство запатентованных лекарственных средств в целях их последующего экспорта; 
80606;-;-; 
80676;Федеральные органы исполнительной власти и органы исполнительной власти субъектов Российской Федерации, уполномоченные в области государственной охраны объектов культурного наследия.;"Проведение оценки воздействия и подготовка проектной документации будет осуществляться в пределах бюджетных ассигнований соответствующих федеральных органов исполнительной власти в случае, если они будут являться заказчиками землеустроительных, земляных, строительных, мелиоративных, хозяйственных и иных работ в границе буферной зоны объекта культурного наследия, включенного в Список всемирного наследия.
Реализация предусмотренных законопроектом полномочий будет осуществляться органами, уполномоченными в области сохранения, использования, популяризации и государственной охраны объектов культурного наследия, в пределах установленной предельной численности работников, а также бюджетных ассигнований, предусмотренных им в федеральном бюджете на руководство и управление в сфере установленных функций."; 
80725;Организации, осуществляющие аффинаж драгоценных металлов;нет; 
80743;-;-; 
80749;Индивидуальные предприниматели и юридические лица, которые осуществляют деятельность, связанную с выбросами вредных (загрязняющих) веществ в атмосферный воздух стационарными источниками выбросов.;Для тех индивидуальных предпринимателей и юридических лиц, которые превышают установленные нормативы предельно допустимых выбросов и (или) временно согласованных выбросов вредных (загрязняющих) веществ в атмосферный воздух стационарными источниками выбросов, расчитывается вред в соответствии с проектом акта. До момента принятия акта вред, причиненный окружающей среде загрязнением атмосферного воздуха, подлежит возмещению в полном объеме и в  соответствии с фактическими затратами на восстановление окружающей среды за счет средств физических и юридических лиц, виновных в загрязнении атмосферного воздуха (статья 32 Закона 96-ФЗ).;0,00р.
80751;-;-; 
80753;субъекты транспортной инфраструктуры;отсутсвуют;0,00р.
80754;Туроператоры, осуществляющие деятельность в сфере выездного туризма;Без изменений. Меняется срок освобождения туроператора от финансового обеспечения ответственности туроператора  и уплаты взносов в фонд персональной ответственности туроператора: «на следующий календарный год» меняется «до 1 апреля следующего календарного года»; 
80766;отсутствуют;отсутствуют; 
80785;Туроператоры, осуществляющие деятельность в сфере выездного туризма;Отчетность должна представляться туроператором в Федеральное агентство по туризму в срок не позднее чем 15 апреля года, следующего за отчетным; 
80817;транспортные компании, осуществляющие международные перевозки;Применение таможенного сопровождения; 
80827;-;-; 
80842;Производители промышленной продукции;"корректировка требований, содержащихся в Правилах выдачи заключения о подтверждении производства промышленной продукции на территории Российской Федерации, утвержденные постановлением Правительства Российской Федерации от 17 июля 2015 г. № 719""
";0,00р.
80855;Юридические лица, индивидуальные предприниматели;"Требование об установлении санитарно-защитных зон предусмотрено Градостроительным кодексом Российской Федерации, Федеральным законом ""О санитарно-эпидемиологическом благополучии"" и постановлением Правительства Российской Федерации от 03.03.2018 №222"; 
80869;Энергосбытовые организации;Сохраняется обязанность по осуществлению своевременной оплаты услуг территорпиальных сетевых организаций по передаче электрической энергии; 
80870;сельскохозяйственные товаропроизводители;предупреждение ущерба, связанного с градобитием (средняя удельная стоимость защиты 1 га в месяц);18,30р.
80880;организации отдыха детей и их оздоровления, индивидуальные предприниматели, оказывающие услуги по обеспечению отдыха и оздоровления детей	;"Формирование, ведение и размещение на сайте органов исполнительной власти субъектов Российской Федерации в сфере организации отдыха и оздоровления детей в информационно-телекоммуникационной сети «Интернет»  реестров организаций отдыха детей и их оздоровления относится к полномочиям указанных органов.
В настоящее время указанные реестры содержат информацию об организациях отдыха детей и их оздоровления, расположенных на территории субъектов Российской Федерации, в том числе о недействующих организациях отдыха детей и их оздоровления. Вместе с тем, представление сведений об организациях отдыха детей и их оздоровления в реестры организаций отдыха детей и их оздоровления является правом указанных организаций. Внесение предлагаемых законопроектом изменений в Кодекс Российской Федерации об административных правонарушениях позволит создать меры по обеспечению безопасных условий для детей при организации их отдыха и оздоровления в связи с тем, что в реестры будут включены организации отдыха детей и их оздоровления, которые соответствуют требованиям законодательства Российской Федерации о безопасных условиях для отдыха и оздоровления детей. 
в этой связи принципиально новых существующих обязанностей и ограничений не вводится "; 
80902;-;Ограничения производства и оборота алкогольной продукции (за исключением закупки, поставок, хранения и (или) перевозок в целях вывоза за пределы территории Российской Федерации (экспорта) с содержанием этилового спирта менее 15 процентов объема готовой продукции, содержащей тонизирующие вещества (компоненты), установлены п. 8 ст. 11 Федерального закона  от 22.11.1995 № 171-ФЗ; 
80916;страхователи;нет;0,00р.
80942;-;-; 
80944;-;-; 
80945;-;-; 
80963;-;-; 
80971;Проект акта не изменяет основные группы субъектов предпринимательской и иной экономической деятельности, интересы которых будут затронуты при принятии акта;Отсутствуют; 
80974;Юридические лица и индивидуальные предприниматели;Отсутствует; 
80992;Принятие приказа не приведет к дополнительным расходам субъектов предпринимательской и иной экономической деятельности, связанных с необходимостью соблюдения установленных обязанностей или ограничений.;Принятие приказа не приведет к дополнительным расходам субъектов предпринимательской и иной экономической деятельности, связанных с необходимостью соблюдения установленных обязанностей или ограничений.; 
81035;лица, осуществляющие  производство и оборот маркируемой алкогольной продукции;проектом постановления не предусматривается  введение каких-либо  административных или иных ограничений для субъектов предпринимательской деятельности; 
81040;Органы государственной власти субъектов Российской федерации, органы местного самоуправления, учреждения, организации, иные юридические лица независимо от их организационно-правовых форм и форм собственности, крестьянские (фермерские) хозяйства, общественные объединения, индивидуальные предприниматели, должностные лица, граждане Российской Федерации, иностранные граждане, лица без гражданства, владеющие, пользующиеся и (или) распоряжающиеся объектом защиты в процессе своей деятельности;На правообладателей объектов защиты складского назначения класса функциональной пожарной опасности Ф5.2 (категорий А, Б и В по пожарной и взрывопожарной опасности) и зданий организаций торговли Ф3.1 (с возможным пребыванием в них от 50 до 200 и более 200 человек одновременно), многоквартирных жилых домов Ф1.3 высотой 28 м. и более, садоводческих, огороднических и дачных некоммерческих объединений граждан, имеющих общую границу с лесным массивом; 
81049;"Недропользователи, осуществляющие добычу нефти, претендующие  
на применение льготы по вывозной таможенной пошлине 
";Необходимость получения подтверждения Минэнерго России и Роснедрами получения (производства) нефти сырой и (или) нефтегазоконденсатной смеси; 
81059;юридические лица, индивидуальные предприниматели, налоговые органы;возможность заключения налоговым органом договора поручительства с целью реализации налогоплательщиком права на применение заявительного порядка возмещения налога на добавленную стоимость, установленного подпунктом 5 пункта 2 статьи 176.1 Налогового кодекса Российской Федерации и (или) права на освобождение от уплаты акциза при совершении операций, предусмотренных подпунктами 4, 4.1, 4.2 пункта 1 статьи 183 Налогового кодекса Российской Федерации;0,00р.
81076;Юридические лица и индивидуальные предприниматели, осуществляющие перевозки пассажиров на основании договора перевозки или договора фрахтования и (или) грузов на основании договора перевозки (коммерческие перевозки), а также осуществляющие перемещение лиц, кроме водителя, находящихся в транспортном средстве (на нем), и (или) материальных объектов без заключения указанных договоров (перевозки для собственных нужд);Установление обязанности по фиксации результатов проведения предрейсового или предсменного контроля технического состояния транспортных средств в государственной автоматизированной информационной системе контроля технического состояния транспортных средств; 
81091;Отсутствуют;Отсутствуют;0,00р.
81103;Данная оценка не проводилась;Данная оценка не проводилась; 
81137;Организации, осуществляющие операции с денежными средствами или иным имуществом, и индивидуальные предприниматели, указанные в части второй статьи 5 Федерального закона № 115-ФЗ;Представление информации в соответствии с положениями пункта 5 статьи 7.5 Федерального закона № 115-ФЗ (в редакции Федерального закона № 90-ФЗ) в Росфинмониторинг по средством личного кабинета, определенного статьей 3 Федерального закона № 115-ФЗ;0,00р.
81137;Организации, осуществляющие операции с денежными средствами или иным имуществом, и индивидуальные предприниматели, указанные в части второй статьи 5 Федерального закона № 115-ФЗ;Представление информации в соответствии с положениями пункта 8 статьи 7.5 Федерального закона № 115-ФЗ (в редакции Федерального закона № 90-ФЗ) в Росфинмониторинг по средством личного кабинета, определенного статьей 3 Федерального закона № 115-ФЗ;0,00р.
81137;Организации, осуществляющие операции с денежными средствами или иным имуществом, и индивидуальные предприниматели, указанные в части второй статьи 5 Федерального закона № 115-ФЗ;Проверка наличия среди своих клиентов организаций и физических лиц, включенных в перечень организаций и физических лиц, в отношении которых имеются сведения об их причастности к распространению оружия массового уничтожения, и информирование о результатах такой проверки Росфинмониторинг;0,00р.
81179;-;(N.1);(N.K)
81180;информация уточняется;информация уточняется; 
81181;Юридические  лица, индивидуальные предприниматели, осуществляющие продажу товаров, выполнение работ, оказание услуг потребителям;Проведение в отношении субъектов соответствующей деятельности контрольной закупки; 
