regulation_project_id;Наименование новой или изменяемой функции, полномочия, обязанности или права;Наименование органа;Единовременные расходы в год возникновения;Периодические расходы за период;Возможные поступления за период
88389;Новые или изменение существующих функций, полномочий, обязанностей и прав проектом приказа не предусматриваются;Роснедра и его территориальные органы;Полномочия, связанные с реализацией проекта приказа будут осуществляться федеральными органами исполнительной власти, в пределах установленных Правительством Российской Федерации численности и фонда оплаты труда работников их центрального аппарата и территориальных органов и бюджетных ассигнований, предусмотренных данным органам в федеральном бюджете на руководство и управления в сфере установленных функций. Проект приказа не повлияет на индикаторы государственных программ Российской Федерации и их результаты;Принятие и реализация проекта приказа не потребует дополнительных расходов федерального бюджета;Принятие и реализация проекта приказа не потребует дополнительных расходов федерального бюджета
88392;Введение новых и изменение существующих функций, полномочий, обязанностей или прав не предусматривается.;Органы государственной власти: заинтересованные федеральные органы исполнительной власти, а также органы исполнительной власти субъектов Российской Федерации, органы местного самоуправления;Реализация предлагаемого правового регулирования не потребует дополнительного финансирования из федерального бюджета, не повлечет отрицательных социально-экономических последствий.;Реализация предлагаемого правового регулирования не потребует дополнительного финансирования из федерального бюджета, не повлечет отрицательных социально-экономических последствий.;Отсутствуют
88398;Расходы бюджетной системы Российской Федерации не предполагаются;Ростехнадзор;нет;Нет;Нет
88399;информация отсутствует ;принятие приказа не приведет к изменению расходов (поступлений) бюджетов бюджетной системы России;-;-;-
88400;отсутствует;нет;нет;нет;нет
88403;Отсутствует;Принятие проекта акта не потребует расходов бюджетов бюджетной системы Российской Федерации;Отсутствуют;Отсутствуют;Отсутствуют
88417;Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека;отсутствуют;отсутствуют;отсутствуют;отсутствуют
88425;отсутствует;нет;нет;нет;нет
88427;Отсутствуют.;Министерство труда и социальной защиты Российской Федерации;Отсутствуют.;Отсутствуют.;Отсутствуют.
88448;нет;нет;нет;нет;нет
88467;Новых функций не предусматривается;Принятие проекта федеральных норм и правил в области промышленной безопасности не приведет к возникновению дополнительных расходов бюджетов бюджетной системы Российской Федерации;Не предусмотрены;Не предусмотрены;Не предусмотрены
88474;отсутствует;-;0;0;0
88476;(N.K);(Орган N);отсутствует;отсутствует;отсутствует
88479;Нет.;Не потребуется..;Не требуются.;Не требуются.;Не требуются.
88490;ведения единого перечня классифицированных гостиниц, горнолыжных трасс, пляжей и размещения сведений, содержащихся в этом перечне, на официальном сайте Минэкономразвития России  в информационно-телекоммуникационной сети «Интернет» ;Минэкономразвития России;В пределах доведенных бюджетных ассигнований;В пределах доведенных бюджетных ассигнований;-
88493;-;-;-;-;-
88497;Составление протоколов об административных правонарушениях Росприроднадзором и Роспотребнадзором;Росприроднадзор, Роспотребнадзор;в рамках бюджетных ассигнований;в рамках бюджетных ассигнований;Отсутствует
88501;Отсутствуют ;Отсутствуют;Отсутствуют ;Отсутствуют ;Отсутствуют 
88507;Законодательное закрепление полномочий федерального органа исполнительной власти, уполномоченного осуществлять государственный экологический надзор, на обращение в суд с исками об устранении нарушений законодательства Российской Федерации в области охраны окружающей среды.;Росприроднадзор и его территориальные органы;Отсутствуют;Отсутствуют;Отсутствуют
88509;ведение перечня аккредитованных организаций, осуществляющих классификацию гостиниц, классификацию горнолыжных трасс, классификацию пляжей;Минэкономразвития России;В пределах доведенных бюджетных ассигнований;В пределах доведенных бюджетных ассигнований;0
88523; ;Минздрав России;не предусматриваются;не предусматриваются;не предусматриваются
88528;Отсутствуют;отсутствует;Отсутствуют;Отсутствуют;Отсутствуют
88555;-;-;-;-;-
88558;-;-;-;-;-
88559;Не предполагается;Информация отсутствует;Не предполагается;Не предполагается;Не предполагается
88563;(N.K);(Орган N);-;-;-
88567;-;-;-;-;-
88575;реализация полномочий, устанавливаемых проектом постановления, осуществляется в пределах установленной Правительством Российской Федерации предельной численности работников, а также бюджетных ассигнований, предусмотренных им на руководство и управление в сфере установленных функций. ;Минкомсвязь России;-;-;-
88582;Необходимость  в новых или в изменении существующих функций, полномочий, обязанностей или прав отсутствует.;Отсутствует;Необходимость отсутствует;Необходимость отсутствует;Необходимость отсутствует
88593;-;-;-;-;-
88610;Расходы бюджетной системы Российской Федерации не предполагаются;Расходы бюджетной системы Российской Федерации не предполагаются;0;0;0
88616; ;органы власти субъектов Российской Федерации, уполномоченные в области лесных отношений; нет; нет; нет
88624;Отсутствует;-;Отсутствуют;Отсутствуют;Отсутствуют
88648;нет;нет;нет;нет;нет
88651;Разработка и принятие решения Правительства Российской Федерации в установленных случаях;Правительство Российской Федерации;0;0;0
88658;нет;нет;нет;нет;нет
88660;нет;нет;нет;нет;нет
88673; Предполагается установление правил осуществления Минздравом России с привлечением федеральных государственных бюджетных учреждений, подведомственных Минздраву России, и не участвующих в организации проведения экспертизы качества лекарственных средств в целях осуществления их государственной регистрации в соответствии со статьей 16 Федерального закона № 61-ФЗ, научного консультирования субъектов обращения лекарственных средств по вопросам, связанным с разработкой и регистрацией лекарственных препаратов, на добровольной основе и за счет средств субъекта обращения лекарственных средств.; ; отсутствует; отсутствует; отсутствует
88676;(N.K);(Орган N);-;-;-
88681;Введение новых или изменение существующих функций, полномочий, обязанностей не предусмотрено;отсутствует;не предусматриваются;не предусматриваются;не предусматриваются
88686;(N.K);Росалкогольрегулироввние;0 млн. руб.;0 млн. руб.;отсутствует
88690;-;-;-;-;-
88691;(N.K) ;(Орган N)расходы не потребуются;не потребуются;-;-
88692;-;-;-;-;-
88703;отсутствует;-;Отсутствуют;Отсутствуют;Отсутствуют
88707;(N.K);(Орган N);отсутствует;отсутствует;отсутствует
88709;Отсутствует;отсутствует;0;0;0
88710;Не установлено;Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека;Не установлено;Не установлено;Не установлено
88715;(N.K);(Орган N);отсутствует;отсутствует;отсутствует
88738;"Утверждение порядка уведомления аккредитованными организациями о планируемом ими осуществлении классификации гостиниц, классификации горнолыжных трасс, классификации пляжей уполномоченных органов государственной власти субъектов Российской Федерации, 
на территориях которых планируется осуществлять соответствующую классификацию, а также формы такого уведомления
";Минэкономразвития России;В пределах доведенных бюджетных ассигнований;В пределах доведенных бюджетных ассигнований;-
88756;"указаны в проекте акта
Органы исполнительной власти субъектов Российской Федерации осуществляющие государственный жилищный надзор";отсутствует;0;0;0
88767;Введение новых или изменение существующих функций, полномочий, обязанностей не предусмотрено;отсутствует;не предусматриваются;не предусматриваются;не предусматриваются
88778;Введение новых или изменение существующих функций, полномочий, обязанностей не предусмотрено;отсутствует;не предусматриваются;не предусматриваются;не предусматриваются
88790; -;-;- ; -; -
88810;-;-;-;-;-
88823;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
88831;"Введение новых или изменение существующих функций, полномочий, обязанностей не предусмотрено
";отсутствует;не предусматриваются;не предусматриваются;не предусматриваются
88846;-;ФНС России и ее территориальные органы;Не ожидаются;Не ожидаются;Не ожидаются
88862;_;_;нет;нет;нет
88864;отсутствуют;отсутствуют;не требуется;не требуется;не требуется
88887;Росрыболовство;Росрыболовство;Не потребуются;Не потребуются;нет
88893;Росрыболовство;Росрыболовство;Не потребуются;Не потребуются;Нет
88894;Росрыболовство;Росрыболовство;Не потребуются;Не потребуются;Нет
88911;-;-;-;-;-
88915;отсутствует;отсутствует;отсутствуют;отсутствуют;отсутствуют
88919;" Утверждение порядка применения производимых или изготовляемых в медицинских организациях незарегистрированных медицинских изделий для диагностики in vitro и выдачи, внесения изменений, отмены, подтверждения, выдачи дубликата разрешения на применение медицинской организацией произведенного или изготовленного в медицинской организации незарегистрированного медицинского изделия для диагностики in vitro, включая форму разрешения на применение медицинской организацией произведенного или изготовленного в медицинской организации незарегистрированного медицинского изделия для диагностики in vitro, порядка ведения реестра разрешенных для применения в медицинских организациях произведенных или изготовленных в медицинских организациях незарегистрированных медицинских изделий для диагностики in vitro.
Выдача, внесение изменений, отмена, подтверждение, выдача дубликата разрешений на применение медицинской организацией произведенного или изготовленного в медицинской организации незарегистрированного медицинского изделия для диагностики in vitro, по осуществлению экспертизы качества, безопасности и эффективности незарегистрированных медицинских изделий для диагностики in vitro и соответствия медицинских организаций, в которых при-меняются такие медицинские изделия, и таких медицинских изделий установленным требованиям, по ведению реестра незарегистриованных медицинских изделий для дигностики in vitro, государственный контроль за применением незарегистрированных медицинских изделий для диагностики in vitro, включая установление порядка осуществления мониторинга безопасности применения незарегистрированных медицинских изделий для диагностики in vitro, установление порядка осуществления оценки медицинскими организациями клинической безопасности и эффективности применения незарегистрированных медицинских изделий для диагностики in vitro, проведение проверок соблюдения установленного порядка применения незарегистрированных медицинских изделий для диагностики in vitro, проведение мониторинга эффективности и безопасности применения незарегистрированных медицинских изделий для диагностики in vitro";Минздрав России, Росздравнадзор; Отсутствуют ;один год;один год
88925;Расходы бюджетной системы Российской Федерации не предполагаются;Расходы бюджетной системы Российской Федерации не предполагаются;0;0;0
88935;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует
88941;Отсутствует;Отсутствует;Отсутствуют;Отсутствуют;Отсутствуют
88943;отсутствует ;отсутствует;отсутствует ;отсутствует ;отсутствует 
88944;Отсутствует;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют 
88946;-;Роспотребнадзор;-;-;-
88951;Нет.;Нет.;69,0 млн рублей;Нет.;Нет.
88970;-;Расходы не ожидаются;-;-;-
88975;-;-;-;-;-
88976;отсутствует;отсутствует;отсутствуют;отсутствуют;отсутствуют
88978;Нет;Нет;Нет;Нет;Нет
88993;-;Минсельхоз России, Россельхознадзор;не требуется;не требуется;не требуется
88999;(N.K);-;0 млн. руб.;0 млн. руб.;отсутствует
89002;(N.K);отсутствует;отсутствует;отсутствует;отсутствует
89010;Федеральный бюджет;Федеральная служба государственной регистрации, кадастра и картографии;1200 тысяч рублей;отсутствуют;отсутствуют
89018;отсутствуют;таможенные органы Российской Федерации;отсутствуют;отсутствуют;отсутствуют
89122;Информация отсутствует.;Информация отсутствует.;Информация отсутствует.;Информация отсутствует.;Информация отсутствует.
89130;-;-;-;-;-
89136;-;-;-;-;-
89138;Утверждение проекта акта не повлечет появления расходов и поступлений бюджетов бюджетной системы Российской Федерации;Утверждение проекта акта не повлечет появления расходов и поступлений бюджетов бюджетной системы Российской Федерации;Утверждение проекта акта не повлечет появления расходов и поступлений бюджетов бюджетной системы Российской Федерации;Утверждение проекта акта не повлечет появления расходов и поступлений бюджетов бюджетной системы Российской Федерации;Утверждение проекта акта не повлечет появления расходов и поступлений бюджетов бюджетной системы Российской Федерации
89147;нет;нет;нет;нет;нет
89163;-;-;-;-;-
89168;-----;--------;------;-----;-----
89176;Нет;Отсутствуют;Нет;Нет;Нет
89185;-;-;-;-;-
89191;-;-;-;-;-
89210;Нет;Нет;Нет;Нет;Нет
89215;-;-;-;-;-
89221;"Проектом постановления предусматривается порядок подачи заявки о согласовании Росрыболовством деятельности, которая направлена на предупреждение чрезвычайных ситуаций, а также уменьшен срок рассмотрения такой заявки.
Также проектом постановления предлагается расширить круг ответственных лиц, которые будут иметь право подписывать решение о согласовании хозяйствующей деятельности.";Росрыболовство;Не потребуются;Не потребуются;Не потребуются
89225;Недопущение включения в экономически обоснованные расходы ресурсоснабжающих организаций расходов на оплату услуг банков и иных организаций по приему платежей.;ФАС России, региональные регулирующие органы.;Отсутствуют;Отсутствует;Отсутствуют
89239;-;Законопроект не повлечет за собой расходов (возможных поступлений) бюджетов бюджетной системы Российской Федерации;0;0;0
89244;Введение новых или изменение существующих функций, полномочий, обязанностей не предусмотрено;отсутствует;Не предусматриваются;Не предусматриваются;Не предусматриваются
89249;Отсутствует;-;Отсутствует;Отсутствует;Отсутствует
89255;Нет;Минсельхоз России, Росрыболовство, Минэкономразвития России, Минфин России, ФСБ России;Нет;Нет ;Нет
89264;Определение размера платы за оказание необходимых и обязательных услуг, а также предельные размеры платы за оказание необходимых и обязательных услуг;Россельхознадзор;Отсутствует;Отсутствует;Отсутствует
89270;-;-;-;-;-
89283;(N.K) ____;(Орган N)расходы не потребуются;не потребуются;-;-
89284;-;-;-;-;-
89285;нет;нет;нет;нет;нет
89321;Новые полномочия не вводятся. Закрепляется порядок реализации имеющихся полномочий по проведению антимонопольными органами наблюдения за соблюдением законодательства Российской Федерации о рекламе;ФАС России;отсутствуют;отсутствуют;отсутствуют
89329;Появление новых полномочий по приостановлению, возобновлению действия лицензии на производство лекарственных средств для медицинского применения ;Минпромторг России;не предусматриваются;не предусматриваются;не предусматриваются
89338;Отсуствуют ;Не предусмотрено;Не потребует расходов из бюджетов бюджетной си-стемы Российской Федерации.;Не потребует расходов из бюджетов бюджетной си-стемы Российской Федерации.;Отсутствуют.
89354;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
89355;отсутствует;отсутствует;отсутствуют;отсутствуют;отсутствуют
89359;"Утверждение порядка уведомления аккредитованными организациями о планируемом ими осуществлении классификации гостиниц, классификации горнолыжных трасс, классификации пляжей уполномоченных органов государственной власти субъектов Российской Федерации, 
на территориях которых планируется осуществлять соответствующую классификацию, а также формы такого уведомления";Минэкономразвития России;В пределах доведенных бюджетных ассигнований;В пределах доведенных бюджетных ассигнований;нет
89363;Установление ответственности за совершение административных правонарушений при осуществлении деятельности по производству лекарственных средств для медицинского применения, а также наделение федерального органа исполнительной власти, осуществляющего лицензионный контроль в сфере производства лекарственных средств для медицинского применения, полномочиями рассматривать дела по указанным административным правонарушениям;Минпромторг России;не предусматриваются;не предусматриваются;-
89407;отмена плановых проверок и осуществление мероприятий по контролю путем проведения внеплановых проверок и (или) документарных проверок;Росрыболовство;в пределах бюджетных ассигнований;в пределах бюджетных ассигнований;нет
89419;-;--;0;0;0
89441;Информация отсутствует.;Информация отсутствует.;Информация отсутствует.;Информация отсутствует.;Информация отсутствует.
89445;нет;нет;нет;нет;нет
89461;-;-;-;-;-
89465;информацию отсутствует ;принятие приказа не приведет к изменению расходов (поступлений) бюджетов бюджетной системы;-;-;-
89483;-;Реализация проекта постановления не повлечет за собой увеличение штатной численности федеральных государственных служащих, а также изменений финансовых обязательств государства и не потребует дополнительных расходов, покрываемых за счет средств федерального бюджета.;-;-;-
89488;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
89489;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует
89499;нет;нет;нет;нет;нет
89502;Утверждение Правил классификации горнолыжных трасс, классификации пляжей;Минэкономразвития России;В пределах доведенных бюджетных ассигнований;В пределах доведенных бюджетных ассигнований;нет
89504;0;акрредитационный орган;0;0;0
89508;(N.K);(Орган N);отсутствует;отсутствует;отсутствует
89511;нет;нет;нет;нет;нет
89526;Отсутствует;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
89535;отсутствует;нет;нет;нет;нет
89546;(N.K);(Орган N) отсутствует;отсутствует;отсутствует;отсутствует
89570;Введение новых или изменение существующих функций, полномочий, обязанностей не предусмотрено;Отсутствует;Не предусматриваются;Не предусматриваются;Не предусматриваются
89573;Нет;Нет;Нет;Нет;Нет
89576;Информация отсутствует.;Информация отсутствует.;Информация отсутствует.;Информация отсутствует.;Информация отсутствует.
89585;нет;Принятие акта не повлияет на соответствующие расходы или поступления в бюджеты всех уровней бюджетной системы Российской Федерации;нет;нет;нет
89606;отсутствует;нет;нет;нет;нет
89635;нет;нет;нет;нет;нет
89645;информация отсутствует ;принятие приказа не приведет к изменению расходов (поступлений) бюджетов бюджетной системы России;-;-;-
89657;Росгидромет;Государственная пошлина за переоформление документа, подтверждающего наличие лицензии, и (или) приложения к такому документу в связи с внесением дополнений в сведения об адресах мест осуществления лицензируемого вида деятельности, о выполняемых работах и об оказываемых услугах в составе лицензируемого вида деятельности;-;-;350000 рублей
89658;нет;ФСБ России;в пределах бюджетных ассигнований;в пределах бюджетных ассигнований;нет
89662;-;-;-;-;-
89664;-;-;-;-;-
89665;Минельхоз России;Минельхоз России;дополнительные расходы отсутствуют;дополнительные расходы отсутствуют;дополнительные расходы отсутствуют
89693;(№.K);-;нет;нет;нет
89699;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
89702;Отсутствует;Отсутствует;0;0;0
89709;-;-;-;-;-
89718;Отсутвует;Бюджет субъектов Российской Федерации;Отсутвует;Отсутвует;Отсутвует
89732;не предполагается;информация отсутствует;не предполагается;не предполагается;не предполагается
89743;(N.K);(Орган N);отсутствует;отсутствует;отсутствует
89758;Отсутствует;-;Отсутствуют;Отсутствуют;Отсутствуют
89766; ;Росздравнадзор и его территориальные органы;отсутствует;отсутствует;отсутствует
89809;Отсутствует;Отсутствует;Отсутствуют;Отсутствуют;Отсутствуют
89830;(N.K);(Орган N);-;-;-
89832;Введение новых или изменение существующих функций, полномочий, обязанностей не предусмотрено;Минздрав России;не предусматриваются;не предусматриваются;не предусматриваются
89834;-;-;-;-;-
89836;Росрыболовство;Росрыболовство;Не потребуются;Не потребуются;Не потребуются
89840;отсутствует;отсутствует;отсутствуют;отсутствуют;отсутствуют
89845;(N.K);(Орган N) отсутствует;отсутствует;отсутствует;отсутствует
89854;-;-;-;-;-
89857;Отсутствует;Отсутствует;0;0;0
89863;Уточнение полномочий субъектов Российской Федерации в части предотвращения самовольного пользования недрами;Росприроднадзор и его территориальные органы, а также уполномоченные органы государственной власти субъектов Российской Федерации (в отношении самовольного пользования участками недр, содержащих общераспространенные полезные ископаемые);Полномочия, связанные с реализацией проекта постановления, будут осуществляться федеральными органами исполнительной власти, в пределах установленных Правительством Российской Федерации численности и фонда оплаты труда работников их центрального аппарата и территориальных органов и бюджетных ассигнований, предусмотренных данным органам в федеральном бюджете на руководство и управления в сфере установленных функций. Проект постановления не повлияет на индикаторы государственных программ Российской Федерации и их результаты;Принятие и реализация проекта постановления не потребует дополнительных расходов федерального бюджета;Принятие и реализация проекта постановления не потребует дополнительных расходов федерального бюджета
89868;Отсутствует;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
89896;Осуществление федерального государственного лесного надзора в лесах, расположенных на землях лесного фонда;Рослесхоз;2472,35 млн рублей;2472,35 млн рублей;2656,52 млн рублей
89912;-;не потребуются;-;-;-
89918;В рамках существующих функций расширятся полномочия Росздравнадзора в части в части взыскания расходов по изъятию медицинских изделий, находящихся в обращении с нарушением законодательства,  вводимых при реализации законопроекта;Росздравнадзор;не предусматриваются;не предусматриваются;не предусматриваются
89919;-;-;-;-;-
89932;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
89985;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует
90017;нет;нет;нет;нет;нет
90027;Отсутствует;Федеральное агентство воздушного транспорта (Росавиация);0;0;0
90028;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует
90054;Контроль за соблюдением образовательными организациями установленных требований к учебно-материальной базе;МВД России;Нет;Нет;Нет
90060;отсутствует;отсутствует;нет;нет;нет
90074;Разработка к началу пожароопасного сезона паспортов территорий ведения гражданами садоводства или огородничества для собственных нужд и организаций отдыха детей и их оздоровления, подверженных угрозе лесных пожаров.;Органы государственной власти субъектов Российской Федерации, органы местного самоуправления, правообладатели земельных участков, граничащих с лесными участками, а также председатели садоводческих или огороднических некоммерческих товариществ и руководителей организаций отдыха детей и их оздоровления, подверженных угрозе лесных пожаров.;дополнительных расходов не ожидается;дополнительных расходов не ожидается;дополнительных расходов не ожидается
90078;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
90122;Отсутствует;Отсутствует;Отсутствуют;Отсутствуют;Отсутствуют
90130;"полномочия органов власти субъектов Российской Федерации, уполномоченные в области лесных отношений не изменяются 
Рослесхоз получает полномочие по принятию  решения о выделении лесных участков для реализации приоритетных инвестиционных проектов в области освоения лесов с объемом инвестиций от 30 млрд рублей в случае, если такое решение по истечении 3 месяцев не принято субъектом и (или) субъектами Российской Федерации";Рослесхоз, органы власти субъектов Российской Федерации, уполномоченные в области лесных отношений;нет;нет;- 
90137; отсутствует;ФАС России и его территориальные органы;отсутствуют;отсутствуют;отсутствуют
90146;отсутствует;ФАС России и его территориальные органы;отсутствуют;отсутствуют;отсутствуют
90164;отсутствует;(Орган N);0;0;0
90179;нет;нет;нет;нет;нет
90180;-;-;-;-;-
90185;Нет.;Нет.;Нет.;Нет.;Нет.
90187;(N.K)  ;(Орган N) Проект нормативного правового акта не предусматривает дополнительных расходов бюджетов бюджетной системы Российской Федерации.;отсутствуют;отсутствуют;отсутствуют
90249;Сбор сведений о лекарственных препаратах, поступающих в гражданский оборот;Росздравнадзор;не предусматриваются;не предусматриваются;не предусматриваются
90253;Отсутствуют;Росстандарт;Не потребует расходов из бюджетов бюджетной системы Российской Федерации.;Не потребует расходов из бюджетов бюджетной системы Российской Федерации.;Отсутствуют
90254;В рамках существующих функций ;Росздравнадзор;не предусматриваются;не предусматриваются;не предусматриваются
90258;Выдача разрешения на ввод серии (пар-тии) ИМП в гражданский оборот;Росздравнадзор;не предусматриваются;не предусматриваются;не предусматриваются
90259;В рамках существующих функций расширятся полномочия Росздравнадзора в части приятия решения о прекращении обращения серии (партии) лекарственного препарата до предоставления необходимых сведения;Росздравнадзор;Отсутствуют;Отсутствуют;Отсутствуют
