regulation_project_id;Группа участников отношений;Оценка количества участников отношений
85489;Сотрудники Ространснадзора.;Согласно штатной численности.
85507;Управляющие организации;отсутствует
85507;Федеральные органы исполнительной власти, органы исполнительной власти субъектов Российской Федерации;отсутствует
85510;Участники внешнеэкономической деятельности  и таможенные операторы;-
85510;-;-
85511;ФТС России;Проведение оценки затруднительно
85511;-;-
85513;"Роскомнадзор, радиочастотная служба, ФТС России, участники внешнеторговой деятельности
";Точно определить количество участников не предоставляется возможным
85513;нет;нет
85514;Информация отсутствует;Информация отсутствует
85514;Информация отсутствует;Информация отсутствует
85516;Министерство промышленности и торговли Российской Федерации;Оценка не проводилась
85516;отсутствует;отсутствует
85519;юридические лица и индивидуальные предприниматели;юридические лица и индивидуальные предприниматели
85519;производители товаров, продавцы, покупатели ;производители товаров, продавцы, покупатели 
85531;неограниченный круг лиц;неограниченный круг лиц
85531;-;-
85554;"Религиозные организации, а также иные субъекты отношений в сфере градостроительства (федеральные органы исполнительной власти; органы исполнительной власти субъектов Российской Федерации; органы местного самоуправления; физические и юридические лица )";количество участников строительного рынка оценить не представляется возможным
85554;-;-
85558;-;-
85558;-;-
85577;Таможенные органы; 
85577;Участники внешнеэкономической деятельности;Проведение оценки затруднительно
85577;-;-
85588;операторы связи, абоненты ;неограниченный круг
85588;нет;нет
85602;(Описание группы субъектов предпринимательской и иной экономической деятельности №); 
85602;Судовладельцы, капитаны судов, имеющие право на неоднократное пересечение государственной границы Российской Федерации без прохождения пограничного, таможенного и иных видов контроля.;"___

"
85602;(Описание иной группы участников отношений №); 
85602;Нет;"___

"
85604;участники внешнеэкономической деятельности, лица, осуществляющие деятельность по оказанию услуг временного хранения товаров, представители органов государственной власти и иные заинтересованные лица.;нет
85604;должностные лица таможенных органов, в регионе деятельности которых установлены зоны таможенного контроля;нет
85613;Разработчики и изготовители воздушных судов и иной авиационной техники гражданского назначения;порядка 150 юр.лиц - разработчиков и изготовителей авиационной техники по данным с сайта Межгосударственного авиационного комитета
85613;Иностранные юридические лица, желающие сертифицировать авиационую технику в РФ;нет данных
85618;Отсутствуют;Отсутствуют
85618;Отсутствуют;"Отсутствуют
"
85628;Газоснабжающие организации;Отсутствует
85628;-;-
85660;Лица, осуществляющие деятельностью, связанную с перемещением товаров через таможенную границу Евразийского экономического союза, оказанием услуг в сфере таможенного дела либо в рамках отдельных таможенных процедур;-
85660;-;-
85662;резиденты, органы и агенты валютного контроля;количественные данные отсутствуют
85662;-;-
85666;Федеральные органы исполнительной власти; 
85666;Участники внешнеэкономической деятельности;отсутствует
85666;-;-
85685;территориальные органы Минкультуры России;7 территориальных управлений
85685;заявители по оказанию госуслуг, поднадзорные субъекты;неограниченный круг лиц
85688;"Хозяйствующие субъекты, юридические и физические лица, осуществляющие водопользование в охранных зонах
";не ограничено
85688;Органы исполнительной власти, осуществляющие региональный государственный надзор в области использования и охраны водных объектов;не ограничено
85691;(Описание группы субъектов предпринимательской и иной экономической деятельности №); 
85691;Судовладельцы, капитаны судов, имеющие право на неоднократное пересечение государственной границы Российской Федерации без прохождения пограничного, таможенного и иных видов контроля.;___
85691;нет;___
85695;Органы государственной власти, органы местного самоуправления, физические и юридические лица;Количество участников оценить не представляется возможным
85695;-;-
85700;управляющие организации;отсутствует
85700;-;-
85701;Авиационные учебные центры;около 60
85701;Эксплуатанты воздушных судов гражданской авиации выполняющие коммерческие воздушные перевозки и авиационные работы;350
85705;"Капитаны российских судов, прошедших пограничный, таможенный и иные виды контроля при убытии с территории Российской Федерации, прибывающих на территорию Российской Федерации без цели захода                                 в российские порты с последующим убытием с территории Российской Федерации для осуществления перегрузки уловов водных биологических ресурсов на российские суда в отношении которых осуществлен пограничный и таможенный контроль в случае, если неблагоприятные гидрометеорологические условия не позволяют осуществлять такую перегрузку за пределами территориального моря Российской Федерации.
";___
85705;Нет;___
85709;Роскомнадзор, операторы иностранных систем спутниковой радиосвязи, предоставляющие услуги на территории Российской Федерации;Точно определить количество участников не представляется возможным
85709;нет;нет
85725;налогоплательщики, имеющие свидетельство о регистрации лица, совершающего операции по переработке нефтяного сырья;всех участники рынка переработки нефтяного сырья
85725;-;-
85750;"ФНС России, Минэнерго России, Минэкономразвития России, Государственная корпорация по космической деятельности ""Роскосмос"", Администрация города Байконур, налогоплательщики города Байконур, осуществляющие ввоз моторного топлива в город Байконур с иной территории Республики Казахстан";не установлена
85750;-;-
85753;Органы государственной власти, органы местного самоуправления, физические и юридические лица;Количество участников оценить не представляется возможным
85753;-;-
85757;Организации, осуществляющие реализацию (продажу, перепродажу, распределение, распространение, обмен и иное использование, связанное или не связанное с извлечением прибыли) входных билетов на  чемпионата Европы по футболу UEFA 2020 года ;"Количество ""билетных партнеров"" будет определено UEFA  одновременно с запуском билетной программы"
85757;-;-
85763;Федеральная служба по труду и занятости; 1
85763;Организации, проводящие специальную оценку условий труда; Более 500
85764;Юридические и физические лица, индивидуальные предприниматели, являющиеся собственниками (владельцами) транспортных средств,  органы по сертификации и испытательные лаборатории (центры), а также организации-изготовители транспортных средств.;"В среднем ежегодное количество участников отношений составляет:; более 8 тыс. физических и юридических лиц – владельцев транспортных средств; более 100 органов по сертификации и  испытательных лабораторий (центров), аккредитованных на оценку и подтверждение соответствия транспортных средств требованиям безопасности  - техническому регламенту Таможенного союза  о безопасности колесных транспортных средств;; более 750 организаций – изготовителей транспортных средств."
85764;Нет;Нет
85771;-;-
85771;-;-
85773;Федеральная служба по труду и занятости;1
85773;Организации, проводящие специальную оценку условий труда;505
85777;Юридические лица и индивидуальные предприниматели;Неограниченное количество
85777;отсутствует;отсутствует
85780;ФТС России, ОАО «Ямал СПГ» ;Отсутствует
85780;Отсутствует;Отсутствует
85791;декларанты товаров, поименованных в проекте постановления Правительства Российской Федерации и Протоколе от 10 октября 2018 года о внесении изменений в Соглашение между Правительством Российской Федера-ции и Правительством Республики Беларусь о мерах по урегулированию торгово-экономического сотрудничества в области экспорта нефти и нефтепродуктов от 12 января 2007 года;проведение оценки затруднительно
85791;Таможенные органы;проведение оценки затруднительно
85807;Предлагаемым правовым регулированием будут затронуты интересы субъектов естественных монополий по транспортировке нефти по магистральным трубопроводам и нефтяных компаний, осуществляющие добычу и транспортировку нефти;Количественная оценка субъектов естественных монополий по транспортировке нефти и нефтепродуктов по магистральным трубопроводам и нефтяных компаний, осуществляющие добычу и транспортировку нефти, не представляется возможной
85807;Министерство энергетики Российской Федерации, Министерство Финансов Российской Федерации, Федеральная антимонопольная служба;3
85813;Юридические лица и индивидуальные предприниматели, деятельность которых связана с аттракционами (далее - эксплуатанты аттракционов);7000
85813;Органы исполнительной власти субъектов Российской Федерации.;85
85820;Производители машин и оборудования для животноводства;Определить не представляется возможным
85820;Отсутствует;Отсутствует
85825;Информация уточняется;Информация уточняется
85825;Информация уточняется;Информация уточняется
85828;таможенные органы исполнительной власти и участники внешнеэкономической деятельности;отсутствует
85828;-;-
85840;Субъекты внешнеэкономической деятельности, осуществляющие декларирование товаров.;Число участников не ограничено
85840;Таможенные органы Российской Федерации;Число участников не ограничено
85842;Юридические лица или индивидуальные предприниматели, осуществляющие медицинскую деятельность;107 463
85872;Потребители станкоинструментальной продукции ;оценить не представляется возможным
85872;заинтересованные органы государственной власти и местного самоуправления;оценить не представляется возможным
85873;Субъекты электроэнергетики;Субъекты электроэнергетики 
85873;-;-
85928;Иностранные организации, оказывающие электронные услуги покупателям	Иностранные организации, оказывающие электронные услуги покупателям;170 организаций
85928;-;-
85929;Теплоснабжающие организации;оценить количество участников не представляется возможным
85929;-;-
85955;страховые организации;223
85955;-;-
85963;"Таможенные органы Российской Федерации;"; 
85963;Лица, приобретшие на таможенной территории Евразийского экономического  союза товары, которые незаконно перемещены через таможенную границу Евразийского экономического союза;Неограниченный круг лиц
85963;-;-
85979;Юридические лица и индивидуальные предприниматели.;юридические лица и индивидуальные предприниматели.
85979;отсутствуют;отсутствуют
85994;Лица, осуществляющие инженерные изыскания и (или) подготовку проектной документации;количество участников строительного рынка оценить не представляется возможным
85994;-;-
86007;организации по племенному животноводству;неограниченный круг лиц
86007;нет;нет
86013;Государственные (муниципальные) образовательные организации дополнительного образования детей (детские школы искусств по видам искусств), профессиональные образовательные организации, реализующие интегрированные образовательные программы в области искусств, образовательные программы среднего профессионального образования в области искусств, и образовательные организации высшего образования – свыше 5252 учреждений.;"1. ДШИ- 4955;  2. Профессиональные образовательные организации отрасли культуры – 235; 3. Образовательные учреждения высшего образования отрасли культуры - 62"
86013;Отсутствуют;Отсутствуют
86027;Минфин России; 
86027;ФНС России;"1
1"
86027;"Пользователи недр
";6093
86045;неограниченный круг;нет
86045;нет;нет
86047;неограниченный круг;нет
86047;нет;нет
86053; Граждане, в том числе индивидуальные предприниматели, и юридические лица, осуществляющие деятельность по изготовлению и обращению пищевых продуктов, материалов и изделий,  контактирующих с пищевыми продуктами.;Неограниченный круг лиц.
86053;-;-
86054;субъекты градостроительных отношений;количество участников строительного рынка оценить не представляется возможным
86054;-;-
86056;Операторы связи;До 100
86056;Нет;Нет
86061;Операторы связи;До 100
86061;Нет;Нет
86078;Росприроднадзор, органы субъектов РФ, уполномоченные проводить ГЭЭ, а также лица, планирующие осуществление деятельности, связанной со строительством объектов, оказывающих негативное воздействие на окружающую среду, которая подлежит ГЭЭ;ГЭЭ носит заявительный характер, в связи с чем оценка количества участников отношений не представляется  возможной. 
86078;отсутствует;отсутствует 
86085;Лица, осуществляющие перевозку на тяжеловесных транспортных средствах;Отсутствует
86085;Отсутствует;Отсутствует
86089;Опосредованно - граждане, в том числе индивидуальные предприниматели, и юридические лица, осуществляющие деятельность по изготовлению и обращению пищевых продуктов, материалов и изделий,  контактирующих с пищевыми продуктами.;Неограниченный круг лиц (опосредованно)
86089;Государственные контрольно-надзорные органы.;Ограниченный круг лиц в соответствии с установленными полномочиямию
86109;судовладельцы (судов рыбопромыслового флота) ;1370 судовладельцев
86109;отсутствует;отсутствует 
86132; Медицинские организации; Более 2000
86132;"Органы власти Республики Крым и г. Севастополь; Росздравнадзор";3
86146;Юридические лица и индивидуальные предприниматели, являющиеся плательщиками акциза, и осуществляющие операции по реализации подакцизных товаров на экспорт.;Отсутствует.
86146;Отсутствуют;Отсутствуют
86150;"Транспортные организации (перевозчики, владельцы инфраструктуры железнодорожного транспорта общего пользования, владельцы железнодорожных путей необщего пользования, владельцы объектов транспортной инфраструктуры автомобильного, воздушного, железнодорожного, морского и внутреннего водного транспорта, перевозчики, операторы морских терминалов, операторы грузовых терминалов аэропортов, операторы железнодорожного подвижного состава, экспедиторы); потребители транспортных услуг (грузоотправители, грузополучатели, пассажиры)";Неопределенный круг лиц
86150;---;---
86169;Юридические лица, индивидуальные предприниматели;нет
86169;нет;нет
86189;государственные унитарные предприятия  и муниципальные унитарные предприятия, собственники их имущества ;не ограниченный круг
86189;нет;нет
86195;плательщики таможенных пошлин, налогов, банки, кредитные организации;Информация отсутствует
86195;Информация отсутствует;Информация отсутствует
86221;"Юридические лица и индивидуальные предприниматели, связанные с деятельностью в области промышленной безопасности и осуществляющие: горные работы по добыче угля подземным способом; деятельность по подготовке и переподготовке работников и специалистов шахт в не образовательных учреждениях";Более 100
86221;Отсутствует;Отсутствует
86240;Коммерческие организации и индивидуальные предприниматели, федеральные органы исполнительной власти Российской Федерации, органы государственной власти субъектов Российской Федерации, органы местного самоуправления;Оценка конкретного количества участников отношений будет осуществлена по результатам получения заявок субъектов Российской Федерации на создание новых специальных экономических зон и перевода действующих территорий с особыми условиями осуществления предпринимательской деятельности под режим специальной экономической зоны
86240;-;-
86249;Лица оказывающие услуги по выполнению обзорных полетов и полетов на десантирование парашютистов;неопределенный круг лиц
86249;отсутствуют;отсутствуют
86284;Коммерческие организации и индивидуальные предприниматели, федеральные органы исполнительной власти Российской Федерации, органы государственной власти субъектов Российской Федерации, органы местного самоуправления;Оценка конкретного количества участников отношений будет осуществлена по результатам получения заявок субъектов Российской Федерации на создание новых специальных экономических зон и перевода действующих территорий с особыми условиями осуществления предпринимательской деятельности под режим специальной экономической зоны
86284;-;-
86286;Юридические лица, осуществляющие разработку, производство, испытания, установку, монтаж, техническое обслуживание, ремонт, утилизацию и реализацию вооружения и военной техники на территории Российской Федерации;-
86286;-;-
86290;Лица, осуществляющие инженерные изыскания и (или) подготовку проектной документации;количество участников строительного рынка оценить не представляется возможным
86290;-;-
86292;Коммерческие организации и индивидуальные предприниматели, федеральные органы исполнительной власти Российской Федерации, органы государственной власти субъектов Российской Федерации, органы местного самоуправления;Оценка конкретного количества участников отношений будет осуществлена по результатам получения заявок субъектов Российской Федерации на создание новых специальных экономических зон и перевода действующих территорий с особыми условиями осуществления предпринимательской деятельности под режим специальных экономических зон
86292;-;-
86294;Коммерческие организации и индивидуальные предприниматели, федеральные органы исполнительной власти Российской Федерации, органы государственной власти субъектов Российской Федерации, органы местного самоуправления;Оценка конкретного количества участников отношений будет осуществлена по результатам получения заявок субъектов Российской Федерации на создание новых специальных экономических зон и перевода действующих территорий с особыми условиями осуществления предпринимательской деятельности под режим специальных экономических зон
86294;-;-
86299;участники внешнеэкономической деятельности;Неограниченный круг лиц
86299;таможенные органы;-
86300;Коммерческие организации и индивидуальные предприниматели, федеральные органы исполнительной власти Российской Федерации, органы государственной власти субъектов Российской Федерации, органы местного самоуправления;Оценка конкретного количества участников отношений будет осуществлена по результатам получения заявок субъектов Российской Федерации на создание новых специальных экономических зон и перевода действующих территорий с особыми условиями осуществления предпринимательской деятельности под режим специальной экономической зоны
86300;-;-
86311;Юридические лица, индивидуальные предприниматели, ;Более 120 компаний.
86311;Высшие исполнительные органы власти субъектов Российской Федерации, расположенных на территории Арктической зоны Российской Федерации;Высшие исполнительные органы власти 9-ти субъектов Российской Федерации 
86314;участники обращения лекарственных ; 
86314;лекарственных средств; 
86314;для медицинского применения;отсутствует
86314;отсутствует;отсутствует
86331;заинтересованные органы государственной власти;средняя
86331;пользователи недр;средняя
86335;Таможенные органы, участники внешнеэкономической деятельности;Проведение оценки затруднительно
86335;-;-
86352;"участники внешнеэкономической деятельности,";не определено
86352;таможенные органы;не определено
86352;отсутствуют;отсутствует
86354;"субъекты отношений в сфере градостроительства (федеральные органы исполнительной власти; органы исполнительной власти субъектов Российской Федерации; органы местного самоуправления; физические и юридические лица )";количество участников строительного рынка оценить не представляется возможным
86354;-;-
86357;"субъекты отношений в сфере градостроительства (федеральные органы исполнительной власти; органы исполнительной власти субъектов Российской Федерации; органы местного самоуправления; физические и юридические лица )";количество участников строительного рынка оценить не представляется возможным
86357;-;-
86398;Теплоснабжающие организации;Отсутствует
86398;-;-
86415;Саморегулируемые организации в области энергетического обследования;157
86415;Отсутствуют;0
86420;ресурсоснабжающие организации, управляющие организации, товарищества собственников жилья, жилищные, жилищно-строительные или иные специализированные потребительские кооперативы, собственники помещений в многоквартирных домах.;Отсутствует
86420;-;-
86422;"рыбохозяйственные предприятия приморья, эксплуатирующие плавбазы и плавзаводы
";не более 6
86422;ФНС; 
86422;ФТС; 
86422;Государственные внебюджетные фонды; 
86422;Администрации морских портов, имеющих право регистрировать суда в РМРС;"1
1
3

"
86434;Юридические лица и индивидуальные предприниматели;Юридические лица и индивидуальные предприниматели
86434;Нет;Нет
86462;Юридические лица, лица, осуществляющие предпринимательскую деятельность без образования юридического лица осуществляющие перевозки автотранспортом опасных грузов ;1000
86462;Ространснадзор;-
86464;Органы гос.власти, органы местного самоуправления, юр.лица, граждане;Все участники отношений
86464;Отсутствует;Информация отсутствует
86465;Организации, индивидуальные предприниматели, предоставляющие гостиничные услуги;Индивидуальные предприниматели, юридические лица, предоставляющие гостиничные услуги на территории Российской Федерации. По данным Росстата,  в 2016 году в России насчитывалось 20023 коллективных средств размещения, в том числе 14948 гостиниц и аналогичных средств размещения, 5075 специализированных средств размещения (из которых 1830 санаторно-курортных организаций). Из 14948 гостиниц и аналогичных средств размещения насчитывается 9243 гости-ниц, 275 мотелей и 881 хостелов.  Вместе с тем , Интернет-ресурс «RoomGuru» (https://www.roomguru.ru) содержит информацию о 38364 средствах размещения в 22 субъектах и городах Российской Федерации. По данным Федерального перечня классифицированных гостиниц и иных средств размещения, горнолыжных трасс и пляжей, аккредитованных организаций и органов по аккредитации в субъектах Российской Федерации ((https://www.классификация-туризм.ру) на 12.03.2018 на территории Российской Федерации классифицировано 11 239 гостиниц. 
86465;Аккредитованные организации, осуществляющие классификацию гостиниц;По данным Федерального перечня классифицированных гостиниц и иных средств размещения, горнолыжных трасс и пляжей, аккредитованных организаций и органов по аккредитации в субъектах Российской Федерации ((https://www.классификация-туризм.ру) на 12.03.2018 на территории Российской Федерации аккредитовано 134 организации, осуществляющие классификацию гостиниц, классификацию горно-лыжных трасс, классификацию пляжей
86472;Физические и юридические лица, заинтересованные в получении водного объекта в пользование ;377 водопользователей
86472;Органы государственной власти;Федеральное агентство водных ресурсов (его территориальные органы), а также органы исполнительной власти субъектов Российской Федерации, органы местного самоуправления
86474;Аккредитованные организации, осуществляющие классификацию гостиниц, классификацию горнолыжных трасс, классификацию пляжей;"По данным  органов по аккредитации в субъектах Российской Федерации на апрель 2019 года на территории Российской Федерации аккредитовано 147 организаций, осуществляющих классификацию гостиниц, классификацию горнолыжных трасс, классификацию пляжей
"
86474;Организации, индивидуальные предприниматели, предоставляющие гостиничные услуги, услуги, связанные с использованием горнолыжной трассы или пляжа;Индивидуальные предприниматели, юридические лица, предоставляющие гостиничные услуги на территории Российской Федерации. По данным Росстата,  в 2016 году в России насчитывалось 20023 коллективных средств размещения, в том числе 14948 гостиниц и аналогичных средств размещения, 5075 специализированных средств размещения (из которых 1830 санаторно-курортных организаций). Из 14948 гостиниц и аналогичных средств размещения насчитывается 9243 гостиниц, 275 мотелей и 881 хостелов. 
86479;импортеры колесных транспортных средств;все импортеры колесных транспортных средств
86479;отсутствует;отсутствует
86480;владелец инфраструктуры, федеральные органы исполнительной власти;"Информация отсутствует 
"
86480;Информация отсутствует ;Информация отсутствует 
86484;Операторы почтовой связи;Свыше 750
86484;Органы государственной власти, контролирующие соблюдение требований законодательства Российской Федерации в области почтовой связи, оборота наркотических средств, иных предметов и веществ, запрещенных к пересылке в почтовых отправлениях;---
86495;Юридические лица, лица, осуществляющие предпринимательскую деятельность без образования юридического лица осуществляющие перевозки автотранспортом опасных грузов ;5000
86495;"Федеральная служба по надзору в сфере транспорта
";-
86506;Специалисты авиационного персонала гражданской авиации, поименованные в приказе Минтранса России № 240, и назначенные на руководящие должности на предприятиях воздушного транспорта прямо или косвенно связанные с вопросами обеспечения безопасности и Росавиация (его территориальные органы), проводящий аттестацию.;нет
86506;нет;нет
86510;Производители стальных труб, используемых для строительства, реконструкции и ремонта сетей водоснабжения и теплоснабжения;-
86510;Организации, осуществляющие деятельность по продаже стальных труб, используемых для строительства, реконструкции и ремонта сетей водоснабжения и теплоснабжения;-
86521;наиболее крупные промышленные и энергетические организации и компании с объемом прямых выбросов парниковых газов более 150 тыс. тонн CO2-эквивалента в год, включая организации авиационного и железнодорожного транспорта, осуществляющие пассажирские и грузовые перевозки;-
