regulation_project_id;Описание отменяемых обязанностей, запретов или ограничений;Описание и оценка затрат на выполнение отменяемых обязанностей, запретов или ограничений
89329;отсутствуют;отсутствуют
89338;Не предусмотрено;Не предусмотрено
89355;Предоставляется льгота по уплате государственной пошлины за государственную регистрацию прав, ограничений (обременений) прав на недвижимое имущество при реорганизации унитарных предприятий в иные организационно-правовые формы юридических лиц;отсутствуют
89363;отсутствуют;отсутствуют
89419;-;-
89489;отсутствует;отсутствует
89665;Проектом акта не предусмотрены;Проектом акта не предусмотрены
89702;Отсутствует;Отсутствует
89758;-;-
89766;Отсутствует;Отсутствует
89832;отсутствуют;отсутствуют
89834;Отсутствуют;-
89840;отсутствует;отсутствует
89854;-;-
89918;отсутствует;отсутствует
89985;отмена отсутствует;отмена отсутствует
90054;Обязанности не меняются;Нет
90074;Отсутствует;Отсутствует
90122;Отсутствуют;Отсутствуют
90180;-;-
90249;Отсутствует;Отсутствует
90253;Не предусмотрено;Не предусмотрено
90254;Отсутствуют;Отсутствуют
90258;Отсутствует;Отсутствует
90259;Отсутствует;Отсутствует
90261;Отсутствует;Отсутствует
90278;не предусмотрены;отсутствуют
90323;не отменяются;затраты отсутствуют
90362;Отсутствует;Отсутствуют
90406;Нет;Нет
90424;Отсутствуют;Отсутствуют
90427;Отмена обязанностей, запретов или ограничений для субъектов предпринимательской и иной экономической деятельности не предусмотрена;Информация отсутствует
90507;нет;нет
90716;...;...
90853;Необходимость отмены обязанностей, запретов или ограничений отсутствует в связи с тем, что проект федерального закона не содержит положений, которые приводят к возникновению у субъектов предпринимательской деятельности дополнительных расходов, связанных с необходимостью соблюдения устанавливаемых требований регулирования;-
90868;Отсутствует;Отсутствует
90935;отсутствует;-
90937;-;-
90944;Отмена отсутствует;Отмена отсутствует
90988;(N.1) отсутствует;отсутствует
90988;(N.K);-
91044;отсутствуют;отсутствуют
91073;-;-
91076;информация уточняется;информация уточняется
91084;-;-
91089;Отсутствует;Отсутствует
91090;-;-
91092;Отсутствует;Отсутствует
91095;-;-
91130;_____________________________________________________________________________________________________________;___________________________________________________________________________________________________________
91217;Отсутствует;Отсутствует
91298;Обязанности, запреты или ограничения не отменяются.;Обязанности, запреты или ограничения не отменяются.
91371;запрет на возмещения расходов, понесенных потребителем электрической энергии в связи с обеспечением перетока электрической энергии тем потребителям, договоры о технологическом присоединении с которыми были заключены им в статусе территориальной сетевой организации;отсутствует
91436;отсутствует;отсутствует
91558;Отсутсвует;Отсутствует
91562;Отсутсвует;Отсутствует
91605;нет;нет
91631;-;-
91648;Отсутсвует;Отсутствует
91654;Отсутствует;Отсутствует
91660;Отсутсвует;Отсутствует
91663;Отсутсвует;Отсутствует
91675;Отсутсвует;Отсутствует
91698;Отсутсвует;Отсутствует
91708;Отсутсвует;Отсутствует
91746;Отсутсвует;Отсутствует
91758;Нет;Нет
91772;отсутствуют;отсутствуют
91785;...;...
91810;Нет;Нет
91816;Отсутствуют;Отсутствуют
91821;отсутствует;отсутствует
91846;-;-
91877;-;-
91899;Отсутствует;Отсутствует
91945;Отсутсвует;Отсутствует
92131;.;.
92148;отменяемых обязанностей, запретов или ограничений не предусмотрено;Отсутствует
92225;-;-
92238;-;-
92266;"1. Изменение режима постоянного государственного надзора в отношении опасных производственных объектов, оснащенных системой дистанционного контроля промышленной безопасности либо объектов, в отношении которых представлено положительное заключение аудита системы управления промышленной безопасностью.
";Информация отсутствует.
92266;"2. Отмена плановых проверок в отношении опасных производственных объектов, оснащенных системой дистанционного контроля промышленной безопасности либо увеличение периодичности проверок объектов, в отношении которых представлено положительное заключение аудита системы управления промышленной безопасностью.
";Информация отсутствует.
92266;"3. Отмена обязанности по предоставлению сведений о производственном контроле в отношении опасных производственных объектов, оснащенных системой дистанционного контроля промышленной безопасности.
";Информация отсутствует.
92266;"4. Введение возможности применения обоснования безопасности при внедрении системы дистанционного контроля промышленной безопасности, а также техническом перевооружении опасного производственного объекта.
";Информация отсутствует.
92266;5. Выделение из опасных производственных объектов отдельной категории – «передвижные технические устройства» с установлением меньшего количества требований к их эксплуатации по сравнению с опасными производственными объектами.;Информация отсутствует.
92312;Отсутствует;Отсутствует
92414;-;-
92453;Отсутствуют;Отсутствуют
92455;-;-
92459;Проектом федерального закона не предусмотрена отмена обязанностей, запретов или ограничений для субъектов предпринимательской и иной экономической деятельности;Проектом федерального закона не предусмотрена отмена обязанностей, запретов или ограничений для субъектов предпринимательской и иной экономической деятельности
92484;-;-
92519;-;-
92521;-;-
92580;Отсутствует.;Отсутствует.
92613;-;-
92660;-;-
92667;Отсутствует;Отсутствует
92720;нет;нет
92734;Отсутствует;Отсутствует
92759;Не предусмотрено;Не предусмотрено
92843;_______;_____________
92867;Вопрос местного значения городского, сельского поселения - обеспечение первичных мер пожарной безопасности в границах населенных пунктов поселения;Отсутсвует
92947;нет;нет
92973;-;-
92979;Отсутствует;Отсутствует
92996;отсутствует;отсутствует
93025;(N.1);отсутствует
93025;(N.K);отсутствует
93058;Предлагаемым регулированием не предусмотрено;Отсутствует
93083;.;.
93086;не имеется;низкая
93098;-;-
93105;-;-
93154;-;-
93170;-;-
93172;Отмена отсутствует;Отмена отсутствует
93190;нет;нет
93193;Отсутствуют;Отсутствуют
93198;Отсутствуют;Отсутствуют
93249;-;-
93250;-;-
93252;Отмена отсутствует;Отмена отсутствует
93257;(N.1) отсутствует;отсутствует
93349;-;-
93367;-;-
93428;(N.1) отсутствует;отсутствует
93428;(N.K);-
93440;Нет данных;Нет данных
93477;-;-
93520;-;-
93570;Обязанности не отменяются;затраты не планируются
93646;-;-
93647;-;-
93696;отсутствуют;-
93698;отсутствуют;-
93711;отсутствует;-
93720;-;-
93732;отсутствуют;-
93738;отсутствуют;-
93741;отсутствуют;-
93742;отсутствуют;-
93830;отсутствуют;отсутствуют
93903;нет;-
93903;нет;-
94044;(N.1) отсутствует;отсутствует
94044;(N.1) отсутствует;-
94086;Предлагаемое регулирование не отменяет существующих обязанностей, запретов и ограничений в отношении субъектов предпринимательской деятельности;Затраты не изменяются ввиду отсутствия отмен существующих обязанностей, запретов и ограничений
94106;(N.1) отсутствует;отсутствует
94106;(N.K);-
94134;-;-
94139;Отсутствуют;Отсутствуют
94376;-;-
94422;Отсутствуют;Отсутствуют
94516;нет;нет
94586;-;-
94592;Нет;Нет
94634;-;-
94694;Обязанности не меняются;Нет
94702;проект акта не отменяет обязанности, запреты или иные ограничения для субъектов предпринимательской деятельности;-
94710;Не меняются;Нет
94763;-;-
94784;Отсутствует;Отсутствует
94785;-;-
94795;Отсутствует;Отсутствует
94882;Нет;Нет
94893;-;-
94969;Отсутствуют;Отсутствуют
95182;-;-
95189;.;.
95190;.;.
95193;.;.
95231;-;-
95263;-;-
95267;Отмена необходимости получения заключения Федерального агентства по недропользованию или его территориального органа об отсутствии полезных ископаемых в недрах под участком предстоящей застройки за границами населенных пунктов;Не проводилась
95270;Отсутствуют;Отсутствует
95289;Отсутствует;Отсутствует
95315;отсутствует;отсутствует
95319;Отсутствует;отсутствует
95355;Нет;Нет
95357;Проектом не предусмотрена отмена обязанностей, запретов или ограничений;-
95394;При проведении эксперимента по квотированию не применяются положения пункта 2 статьи 6 «Полномочия органов государственной власти субъектов Российской Федерации в области охраны атмосферного воздуха», пункта 22 статьи 12 «Нормативы выбросов вредных (загрязняющих) веществ в атмосферный воздух и вредных физических воздействий на атмосферный воздух», пункта 5 статьи 22 «Инвентаризация источников выбросов и выбросов загрязняющих веществ в атмосферный воздух», пункта 1 статьи 221 «Проведение сводных расчетов загрязнения атмосферного воздуха», абзацев тринадцатого и четырнадцатого пункта 1 статьи 30 «Обязанности граждан, юридических лиц и индивидуальных предпринимателей, имеющих стационарные источники и передвижные источники» Федерального закона от 4 мая 1999 года № 96-ФЗ «Об охране атмосферного воздуха» на территории эксперимента;не проводились
95419;отсутствуют;отсутствует
95425;-;-
95474;отсутствуют;отсутствуют
95592;Отсутствует;Отсутствует
95604;необходимость отсутствует;необходимость отсутствует
95614;отсутствует;отсутствует
95725;-;-
95782;отсутствуют;отсутствуют
95788;-;-
96011;-;-
96057;необходимость отсутствует;необходимость отсутствует
96058;Без отмены;0
96060;-;-
96152;отсутствует;отсутствует
96386;(N.1);Отсутствует.
96462;-;-
96586;-;-
96710;-;-
96751;(N.1);-
96751;(N.K);-
96793;Отсутствует;Отсутствует
96849;-;-
96949;нет;нет
96968;отсутствуют;отсутствует
96980;Отсутствует;Отсутствует
97016;-;-
97033;отсутствует;отсутствует
97045;Отсутствуют.;Отсутствуют.
97075;-;-
97231;-;-
97240;-;-
97255;нет;нет
97360;-;-
97370;-;-
97371;Отменяемых обязанностей, запретов или ограничения не предусмотрено;Затрат на выполнение отменяемых обязанностей, запретов или ограничений не предусмотрено
97558;нет;нет
97559;отсутствуют;отсутствуют
97560;нет;нет
97646;-;-
97699;отсутствуют;отсутствует
97730;Нет;Нет
97823;Отсутствует;Отсутствует
97840;не предусмотрено;отсутствует
97847;-;-
97893;нет данных;нет данных
97958;-;-
98024;Отсутствуют;Отсутствуют
98036;Отсутствуют;Отсутствуют
98050;отсутствует;отсутствует
98067;Отсутсвуют;Отсутствуют
98080;нет;нет
98137;отсутствует;отсутствует
98187;Проект федерального закона не предусматривает отмену обязанностей, запретов или ограничений для субъектов предпринимательской и иной экономической деятельности;Нет
98235;Проектом приказа обязанности, запреты или ограничения не устанавливаются. Вместе с тем проектом приказа уточняются пункты, вызывающие затруднения и разночтения при расчетах, а также Методика дополняется показателями новых объектов аквакультуры и/или регионов их разведения, что в свою очередь расширит перечень водных биоресурсов, в отношении которых рыбоводные хозяйства смогут подать заявки о предоставлении водных биоресурсов в пользование для осуществления рыболовства в целях аквакультуры (рыбоводства), предусмотренной постановлением Правительства Российской Федерации от 15 октября 2008 г. № 765 «О порядке подготовки и принятия решения о предоставлении водных биологических ресурсов в пользование».;Работа по утверждению проекта приказа будет осуществляться в пределах установленной Правительством Российской Федерации предельной численности работников Минсельхоза России, а также бюджетных ассигнований, предусмотренных Минсельхозу России в федеральном бюджете на руководство и управление в сфере установленных функций. Увеличение затрат на выполнение отменяемых обязанностей, запретов или ограничений не предусмотрено.
98248;-;-
98297;нет данных;нет данных
98305;-;-
98313;Необходимость отмены обязанностей, запретов или ограничений отсутствует.;Отсутствует
98398;-;-
98464;Отсутствуют.;Отсутствуют.
98466;-;-
98471;отсутствуют;отсутствуют
98480;Отсутствует;Отсутствует
98491;Проектом приказа утверждается Методика расчета объема подлежащих изъятию объектов аквакультуры при осуществлении пастбищной аквакультуры в новой редакции. Дополнительно потребуется признать утратившим силу приказы Минсельхоза России от 26 декабря 2014 г. № 534 «Об утверждении методики расчета объема подлежащих изъятию объектов аквакультуры при осуществлении пастбищной аквакультуры» и от 30 октября 2015 г. № 539 «О внесении изменений в приказ Министерства сельского хозяйства Российской Федерации от 26 декабря 2014 г. № 534». Издание Приказа не потребует внесения изменений в приказы Минсельхоза России, а также в иные действующие нормативные правовые акты.;Работа по утверждению Методики в новой редакции будет осуществляться в пределах установленной Правительством Российской Федерации предельной численности работников Минсельхоза России, а также бюджетных ассигнований, предусмотренных Минсельхозу России в федеральном бюджете на руководство и управление в сфере установленных функций. Увеличение затрат на выполнение отменяемых обязанностей, запретов или ограничений не предусмотрено.
98515;отсутствует;отсутствует
98520;Отсутствует;-
98535;-;-
98606;-;-
98607;-;-
98687;Отмена лицензирования деятельности по перевозкам внутренним водным транспортом, морским транспортом опасных грузов и деятельности по осуществлению буксировок морским транспортом;-
98701;-;-
98717;-;-
98735;-;-
98749;нет;нет
98868;Законопроект не направлен на отмену обязанностей, запретов или ограничений для субъектов предпринимательской и иной экономической деятельности;Не требуются
98883;Отсутствует;Отсутствует
98991;-;-
99014;-;-
99022;-;-
99037;нет;нет
99058;Законопроект предусматривает признание утратившим силу Кодекса Российской Федерации об административных правонарушениях; 
99058;"и положений федеральных законов (федеральных законов), которыми ";Отсутствует.
99058;в указанные нормативные правовые акты были внесены изменения.;Отсутствует.
99059;Проект нового КоАП разработан взамен действующего Кодекса Российской Федерации об административных правонарушениях (разделы I – III), признание которого утратившим силу предусмотрено проектом федерального закона «О введении в действие Кодекса Российской Федерации об административных правонарушениях и Процессуального кодекса Российской Федерации об административных правонарушениях».;Отсутствует.
99061;"Проект ПКоАП разработан взамен действующего Кодекса Российской Федерации об административных правонарушениях (разделы IV – V), признание которого утратившим силу предусмотрено проектом федерального закона «О введении в действие Кодекса Российской Федерации об административных правонарушениях ";отсутствует
99061;и Процессуального кодекса Российской Федерации об административных правонарушениях».;отсутствует
99086;-;-
99202;Отсутствует;Отсутствует
99214;-;-
99312;Отсутствует (№.K);-
99335;Необходимость учета разницы в нормативном правовом регулировании при осуществлении деятельности на территории нескольких субъектов Российской Федерации;-
99347;-;-
99352;-;-
99355;-;-
99450;-;-
99487;Запрещение эксплуатации самоходных машин и прицепов к ним за нарушение требований к техническому состоянию самоходных машин и других видов техники, а также приостановление действия удостоверения тракториста-машиниста (тракториста) в связи с выявлением признаков подделки;-
99512;нет данных;нет данных
99569;Отсутствуют;Отсутствуют
99621;Отсутствуют;Отсутствуют
99627;отсутствуют;отсутствуют
99688;Отсутствуют;Отсутствуют
99694;отсутствует;отсутствует
99748;-;-
99875;Отмена необходимости аттестации эталонов единиц величин, являющихся средствами измерений утвержденного типа;90% эталонов содержит в своем составе средства измерения утвержденного типа, это означает, что расходов на аттестацию эталонов не потребуется.
99884;Отсутствует;Отсутствует
99902;Отсутствуют;Отсутствуют
99932;Отсутствуют;Отсутствуют
99997;-;-
100002;-;-
100040;---;------
100047;нет;нет
100097;-;-
100103;отсутствует;отсутствует
100141;Отсутствует;-
100181;Отсутствует;Отсутствует
100184;"Перераспределение предусмотренной в соответствии со статьей 342 Налогового кодекса Российской Федерации компенсации расходов на дальневосточную надбавку к ""демпфирующей составляющей"" обратного акциза на нефтяное сырье на реализацию указанных в проекте постановления мер.";отсутствует
100186;Нет;Нет
100232;Отсутствуют;Отсутствуют
100294;отсутствуют;-
100438;отсутствует;отсутствует
100439;нет;нет
100493;Отменяется действующий порядок правовой охраны тепловых сетей;отсутствуют
100499;нет;нет
100553;Отсутствуют;Отсутствуют
100575;.;.
100579;Отсутствуют;Отсутствуют
100580;-;-
100614;Отсутствуют.;Отсутствуют.
100618;Отсутствует (№.K);-
100620;нет;нет
100627;Отсутствует (№.K);-
100640;_;_
100681;нет;нет
100754;Методиками не предусмотрена отмена обязательств, запретов или ограничений;Так как отмена обязательств, запретов или ограничений не предусмотрено, описание и оценка затрат отсутствует
100757;Методиками не предусмотрена отмена обязательств, запретов или ограничений;Так как отмена обязательств, запретов или ограничений не предусмотрено, описание и оценка затрат отсутствует
100798;Методиками не предусмотрена отмена обязательств, запретов или ограничений.;Так как отмена обязательств, запретов или ограничений не предусмотрено, описание и оценка затрат отсутствует.
100803;Не предусмотрено;Не предусмотрено
100807;Отсутствует;Отсутствует
100813;Отсутствуют;Отсутствуют
100876;-;-
100890;-;-
100919;Отсутствуют.;Отсутствуют.
100940;Отсутствуют;Отсутствуют
101005;не предусмотрено;не предусмотрено
101035;Реализация проекта акта не отменяет существующих обязанностей запретов и ограничений;Отсутствует
101072;Отсутствуют.;Отсутствуют.
101083;Отсутствуют;Отсутствуют
101094;Отстутствуют;Отсутствуют
101099;(N.K);-
101099;не предусмотрено;не предусмотрено
101112;Отмена обязанностей, запретов или ограничений не предусмотрена.;Ввиду отсутствия отмены обязанностей, запретов или ограничений затраты на выполнение указанных мероприятий не планируется.
101113;Отсутствуют;-
101115;-;-
101122;отсутствуют;отсутствуют
101128;отсутствуют;отсутствуют
101293;Необходимость отмены обязанностей, запретов или ограничений отсутсвует.;Отсутсвует
101295;-;-
101316;Отсутствует;Отсутствует
101338;-;-
101355;Отсутствует;Отсутствует
101367;Отсутствует;Отсутствует
101441;-;-
101448;.;.
101535;-;-
101537;"Проектом приказа утверждается Порядок оформления, выдачи и регистрации разрешения на экспорт осетровых видов рыб и продукции из них, включая икру и разрешения на импорт осетровых видов рыб и продукции из них, включая икру, сертификата на реэкспорт осетровых видов рыб и продукции из них, включая икру и сертификата на интродукцию из моря образцов осетровых видов рыб, подпадающих под действие Конвенции о международной торговле видами дикой фауны и флоры, находящимися под угрозой исчезновения, от 3 марта 1973 г., порядка внесения в них изменений, приостановления действия и аннулирования указанных разрешений, сертификатов, а также их формы.";Работа по утверждению проекта приказа будет осуществляться в пределах установленной Правительством Российской Федерации предельной численности работников Минсельхоза России, а также бюджетных ассигнований, предусмотренных Минсельхозу России в федеральном бюджете на руководство и управление в сфере установленных функций. Увеличение затрат на выполнение отменяемых обязанностей, запретов или ограничений не предусмотрено.
101537;Издание Приказа не потребует внесения изменений в приказы Минсельхоза России, а также в иные действующие нормативные правовые акты.;Работа по утверждению проекта приказа будет осуществляться в пределах установленной Правительством Российской Федерации предельной численности работников Минсельхоза России, а также бюджетных ассигнований, предусмотренных Минсельхозу России в федеральном бюджете на руководство и управление в сфере установленных функций. Увеличение затрат на выполнение отменяемых обязанностей, запретов или ограничений не предусмотрено.
101602;Отсутствуют;Отсутствуют
101608;Отсутствуют;Отсутствуют
101610;Отсутствуют;Отсутствуют
101657;-;--
101736;Отсутствует;-
101760;-;-
101778;Отсутствует.;Отсутствует.
101780;Отсутствует.;Отсутствует.
101839;не отменяются обязанности, запреты или ограничения для субъектов предпринимательской и иной экономической деятельности;-
101849;Нет;Нет
101893;Проектом постановления не предусматривается отмена обязанностей, запретов или ограничений;Проектом постановления не предусматривается отмена обязанностей, запретов или ограничений
101896;-;-
101928;отсутствуют;отсутствуют
101962;-;-
101967;Отсутствует;-
101974;-;-
102015;-;-
102030;Отсутствует;-
102047;нет;нет
102062;Отсутствует.;Отсутствует.
102105;нет;нет
102144;-;-
102154;Отсутствуют;Отсутствует
102207;-;-
102269;-;-
102311;-;-
102447;Проект нового КоАП разработан взамен действующего Кодекса Российской Федерации об административных правонарушениях (разделы I – III), признание которого утратившим силу предусмотрено проектом федерального закона «О введении в действие Кодекса Российской Федерации об административных правонарушениях и Процессуального кодекса Российской Федерации об административных правонарушениях».;-
102452;отсутствуют;отсутствуют
102538;Обязанности, запреты и ограничения не изменяются;Затраты отсутствуют
102578;нет;нет
102625;-;-
102669;отсутствуют;отсутствуют
102681;Проектом постановления не отменяются обязанности, запреты, ограничения;отсутствуют
102730;-;-
102733;Отсутствует;Отсутствует
102751;отсутствует;отсутствует
102790;Отсутствует;Отсутствует
102839;-;-
102898;нет;нет
102902;-;-
102932;-;-
102942;Отменяемых обязанностей, запретов или ограничения не предусмотрено;Затрат на выполнение отменяемых обязанностей, запретов или ограничений не предусмотрено
102945;"Проект ПКоАП разработан взамен действующего Кодекса Российской Федерации об административных правонарушениях (разделы IV – V), признание которого утратившим силу предусмотрено проектом федерального закона «О введении в действие ";-
102945;Кодекса Российской Федерации об административных правонарушениях ; 
102945;и Процессуального кодекса Российской Федерации об административных правонарушениях».;-
102947;Отменяемых обязанностей, запретов или ограничения не предусмотрено;Затрат на выполнение отменяемых обязанностей, запретов или ограничений не предусмотрено
103010;-;-
103089;Нет;Нет
103090;"административная ответственность за обязанности и запреты, введенная в соответствии с Федеральным законом от 26 декабря 1995 г. № 209-ФЗ ""О геодезии и картографии""";затраты отсутствуют
103108;исключение обязанности ОВС направлять членам ОВС протокол общего собрания членов ОВС посредством почтовой, факсимильной связи или по электронной почте;-
103108;"исключение обязанности ОВС опубликовывать в средствах массовой информации, в частности:";-
103108;"1) устав ОВС;"; 
103108;"2) состав членов ОВС;"; 
103108;"3) порядок прекращения членства в ОВС и сведения о членах ОВС, прекративших членство в ОВС;";-
103108;4) информацию о принятом решении о ликвидации ОВС.;-
103108;исключение обязанности ОВС проводить реорганизацию в форме преобразования, разделения либо выделения в случае, если число членов ОВС превысит 2 тысячи физических лиц или 2 тысячи физических лиц и 500 юридических лиц, в течение 6 месяцев с момента достижения предельной численности;-
103108;"исключение обязанности ОВС размещать в информационно-телекоммуникационной сети ""Интернет"" (далее - сеть ""Интернет""), в том числе на официальном сайте общества в сети ""Интернет"", в частности, состав членов ОВС, порядок прекращения членства в ОВС и сведения о членах ОВС, прекративших членство в ОВС";-
103108;исключение обязанности наличия в уставе ОВС сведений, в том числе о виде или видах страхования, осуществляемых ОВС, а также правил страхования;-
103108;исключение обязанности уплаты членами ОВС паевого взноса, взноса на покрытие расходов, связанных с уставной деятельностью ОВС;-
103108;снятие запрета на осуществление ОВС личного страхования (допускается осуществление ОВС страхования от несчастных случаев и болезней, медицинского страхования);-
103108;снятие ограничения по максимальному числу членов ОВС;-
103108;снятие ограничения по обеспечению необходимого числа физических и юридических лиц в составе членов ОВС;-
103116;исключение необходимости выполнения ОВС требований, установленных законодательством Российской Федерации о потребительской кооперации;не предусмотрено
103116;снятие запрета на осуществление ОВС личного страхования;не предусмотрено
104221;Отсутствуют;Отсутствуют
104236;-;-
105349;-;-
105447;-;-
105506;Отсутствуют;Отсутствуют
105537;нет;нет
105565;Информация уточняется;Информация уточняется
105602;нет;нет
105646;Проектом федерального закона не отменяются обязанности, запреты, ограничения;Отсутствуют
105662;.;.
105664;.;.
105732;(N.1);Нет данных
105732;(N.K);Нет данных
105865;Проектом приказа не отменяются обязанности, запреты, ограничения;Отсутствуют
105866;Отсутствует;Отсутствует
105922;Отсутствуют.;Отсутствует.
105952;отсутствуют;отсутствуют
105966;-;-
106010;информация уточняется;информация уточняется
106021;информация уточняется;информация уточняется
106132;отмена обязанностей, запретов или ограничений не предусмотрена проектом федерального закона;отсутствуют
106155;Отсутствует;Отсутствует
106186;отсутствуют;отсутствуют
106208;отсутствуют;отсутствуют
106295;В некоторых случаях исключается обязанность по предоставлению информации о внебиржевых договорах;Затраты отсутствуют
106322;-;-
106345;Отменяемых обязанностей, запретов или ограничения не предусмотрено;Затрат на выполнение отменяемых обязанностей, запретов или ограничений не предусмотрено
106346;Обязанности, запреты и ограничения отсутствуют;Обязанности, запреты и ограничения отсутствуют
106363;нет;нет
106369;Информация отсутствует;Информация отсутствует
106372;Отсутствуют;Отсутствуют
106397;Проектом постановления не отменяются обязанности, запреты, ограничения;отсутствуют
106436;отсутствуют;отсутствуют
106488;Отменяемых обязанностей, запретов или ограничения не предусмотрено;Затрат на выполнение отменяемых обязанностей, запретов или ограничений не предусмотрено
106491;Отменяемых обязанностей, запретов или ограничения не предусмотрено;Затрат на выполнение отменяемых обязанностей, запретов или ограничений не предусмотрено
106556;Отсутствуют;Отсутствуют
