regulation_project_id;Риски решения проблемы предложенным способом и риски негативных последствий;Оценки вероятности наступления рисков;Методы контроля эффективности избранного способа достижения целей регулирования;Степень контроля рисков
91294;Риск несоответствия между предложенным способом решения проблемы и заявленными целями регулирования;Маловероятен;Данный риск будет контролироваться мероприятиями по мониторингу в части улучшения сбора данных Росрыболовством;Полный
91298;"1. Риск привидения нормативно-правовой базы в соответствие с Федеральным законом «О государственном контроле (надзоре) и муниципальном контроле в Российской Федерации».
";"1. Средняя
";"1. Установление переходного периода на вступление в силу отдельных норм федерального закона и разработка ведомственных планов приведения отраслевой нормативно-правовой базы в соответствие с данным Федеральным законом.
";"1. Средняя, зависимость от качества работы органов исполнительной власти
"
91298;"2. Риск увеличения административного давления на граждан, юридических лиц и индивидуальных предпринимателей.
";"2. Низкая
";"2. Постоянный мониторинг показателей результативности и эффективности деятельности контрольно-надзорных органов, в том числе характеризующих уровень административных издержек, а также контроль хода реализации отдельных норм Федерального закона.
";"2. Высокая
"
91298;"3. Риск недостаточности материальных, финансовых и трудовых ресурсов для реализации норм федерального закона.
";"3. Средняя
";"3. Финансирование реализации норм федерального закона преимущественно в рамках перераспределения имеющегося объема бюджетных ассигнований, выделенных на осуществление контрольно-надзорных полномочий. 
";"3. Средняя, необходима координация с Минфином России
"
91298;4. Риск роста ущерба охраняемым ценностям в соответствующих сферах деятельности и ухудшения статистики случаев причинения вреда.;4. Низкая;4. Постоянный мониторинг показателей результативности и эффективности деятельности контрольно-надзорных органов, в том числе характеризующих динамику случаев причинения вреда.;4. Высокая
91306;Отсутствуют;Отсутствуют;non-applicable;non-applicable
91312;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
91313;отсутствуют;отсутствуют;отсутствуют;отсутствует
91315;отсутствуют;низкая;non-applicable;non-applicable
91318;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют
91334;отсутствует;отсутствует;отсутствует;отсутствует
91340;отсутствуют;отсутствуют;non-applicable;non-applicable
91351;Отсутствуют.;Не оценивается.;non-applicable;non-applicable
91361;нет;нет;non-applicable;non-applicable
91371;-;-;-;-
91387;Риски отсутствуют;-;-;-
91418;-;-;-;-
91432;отсутствует;-;non-applicable;non-applicable
91436;отсутствуют;отсутствуют;отсутствуют;отсутствует
91450;Отсутствуют;Отсутствуют;non-applicable;non-applicable
91454;Невозможность  своевременной передачи данных в информационную систему ПФР из-за сбоя  информационной системы у работодателя. ; ; ; 
91454;Недостаточное информирование   работодателем работника о различных вариантах   ведения трудовой книжки.; ; ; 
91454;Недостаточные  знания и навыки у работников  для  применения  цифровых сервисов.; ; ; 
91454;Потенциальный  риск увеличения  расходов работника:; ; ; 
91460;отсутствуют;отсутствуют;отсутствуют;отсутствуют
91474;отсутсвуют;-;non-applicable;non-applicable
91480;отсутствуют;отсутствуют;отсутствуют;отсутствует
91482;отсутствуют;отсутствует;non-applicable;non-applicable
91489;отсутствуют;отсутствуют;отсутствуют;отсутствует
91497;Отсутствуют;Отсутствуют;Мониторинг право-применительной практики законода-тельства Российской Федерации в области сельскохозяйственной кооперации.;Отсутствуют
91501;отсутствуют;Минимальная;существующие;высокая
91505;Нет;Нет;Нет;Нет
91515;Отсутствуют;Отсутствуют;Существующие;Высокая
91520;-;-;-;-
91550;-;-;-;-
91558;Отсутствуют.;Отсутствуют.;Отсутствуют.;Отсутствует.
91562;отсутствуют;-;-;-
91571;Риски отсутствуют;-;non-applicable;non-applicable
91573;Риск несоответствия между предложенным способом решения проблемы и заявленными целями регулирования;Маловероятен;Данный риск будет контролироваться мероприятиями по мониторингу в части улучшения сбора данных Росрыболовством;Полный
91574;Отсутствуют;Отсутствуют;non-applicable;non-applicable
91577;Отсутствуют;Отсутствуют;non-applicable;non-applicable
91579;Отсутствуют;Отсутствуют;non-applicable;non-applicable
91580;Отсутствуют;Отсутствуют;non-applicable;non-applicable
91581;отсутствуют;Минимальная;существующие;высокая
91582;Риск несоответствия между предложенным способом решения проблемы и заявленными целями регулирования;Маловероятен;Данный риск будет контролироваться мероприятиями по мониторингу в части улучшения сбора данных Росрыболовством;Полный
91589;Информация уточняется;Информация уточняется;non-applicable;non-applicable
91591;Информация уточняется;Информация уточняется;non-applicable;non-applicable
91594;Риск несоответствия между предложенным способом решения проблемы и заявленными целями регулирования;Маловероятен;Данный риск будет контролироваться мероприятиями по мониторингу в части улучшения сбора данных Росрыболовством;Полный
91596;"Риски невозможности обеспечения достаточного контроля соблюдения предлагаемых требований;"; ; ; 
91596;"Риски для инвестиционного климата;"; ; ; 
91596;Риски для состояния конкуренции; ; ; 
91597;не выявлены;низкая;non-applicable;non-applicable
91605;отсутствуют;нет;отсутствуют;нет
91609;-;-;-;-
91615;Отсутствуют;Отсутствуют;non-applicable;non-applicable
91631;Риски решения проблемы предложенным способом не выявлены;-;-;-
91633;Отсутствуют;Отсутствуют;non-applicable;non-applicable
91638;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствует
91639;-;-;-;-
91647;Увеличение расходов бюджета Российской Федерации;Высокая;non-applicable;non-applicable
91648;Отсутствуют;Отсутствуют;non-applicable;non-applicable
91651;Отсутствует;Отсутствует;Отсутствует;Отсутствует
91654;Отсутствуют;Отсутствуют;Возможность обжалования решений Росздравнадзора (территориальных органов), принятых по результатам контрольно-надзорных мероприятий;Отсутствует
91657;нет;нет;нет;нет
91660;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
91663;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствует
91666;отсутствуют;0;контроль не требуется;0
91667;-;-;non-applicable;non-applicable
91668;Отсутствуют;Отсутствуют;Не требуется;Не требуется
91670;-;-;non-applicable;non-applicable
91672;-;-;non-applicable;non-applicable
91674;-;-;-;-
91675;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
91679;Отсутствуют;Отсутствуют;non-applicable;non-applicable
91691;Отсутствуют;Отсутствуют;non-applicable;non-applicable
91698;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
91703;отсутствуют;отсутствуют;нет;нет
91708;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
91718;Отсутствуют;Отсутствуют;Существующие;Высокая
91723;Увеличение трудозатрат на выполнение работ по планированию развития электроэнергетики;Указанный риск вероятен для неспециализированных проектных организаций, в штате которых отсутствуют специалисты соответствующего профиля;Установление необходимых квалификационных требований (неценовых критериев), включая опыта работы, деловой репутации, специалистов соответствующей квалификации, для проектных организаций, привлекаемых к выполнению работ по планированию развития электроэнергетики;Достаточная
91729;отсутствует;отсутствует;Профилактика, диагностика и ликвидация бруцеллеза (включая инфекционный эпидидимит баранов);Средняя
91730;отсутствуют;нет;данные медицинского освидетельствования;нет
91736;отсутствуют;вероятность отсутствует;non-applicable;non-applicable
91746;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
91751;Риски и негативные последствия предложенного способа регулирования и риски негативных последствий не выявлены.;не выявлены;non-applicable;non-applicable
91757;Отсутствуют;Отсутствуют;Существующие;Высокая
91758;Отсутствуют.;Отсутствуют.;Отсутствуют.;Отсутствует.
91761;-;-;non-applicable;non-applicable
91771;невыполнение работодателем или заказчиком работ (услуг) своих функций из-за отсутствия на рынке труда Российской Федерации требуемых специалистов и невозможности привлечения иностранного работника;низкая. В отраслях экономики, указанных в проекте постановления, имеется возможность привлечения российских специалистов. Аналогичные допустимые доли устанавливается ежегодно.;осуществление контроля за соблюдением работодателями и заказчиками работ (услуг) установленной Правительством Российской Федерации допустимой доли иностранных работников.;низкая
91772;минимальные;низкая;контроль со стороны МВД России;высокая
91779;----;----;---;----
91785;...;...;...;...
91793;Отсутствуют; ; ; 
91797;Риск несоответствия между предложенным способом решения проблемы и заявленными целями регулирования;Маловероятен;non-applicable;non-applicable
91810;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствует
91815;"-несоответствия между предложенным способом регулирования и заявленными целями предложенного способа регулирования;  
";отсутствуют     ; ; 
91815;"-недостаточности механизмов реализации предложенного способа  регулирования для решения проблемы 
"; ; ; 
91815;"-невозможности обеспечения доста-точного контроля соблюдения предлагаемых требований;  
"; ; ; 
91815;"-отсутствия необходимых ресурсов, кадров;  
";отсутствуют      ; ; 
91815;"-несоответствия предложенного способа регулирования уровню развития или распространения необходимых технологий;  
"; ; ; 
91815;"-неясности условий и порядка практического применения положений проекта акта для участников отношений предложенного способа регулирования.  
Риски негативных последствий:  
"; ; ; 
91815;"-для развития предпринимательства;  
";отсутствуют      ; ; 
91815;"-для инвестиционного климата;  
"; ; ; 
91815;"-для конкуренции;  
"; ; ; 
91815;"-для безопасности и качества продукции;  
";отсутствуют    ; ; 
91815;"-для окружающей среды;  
";отсутствуют        ; ; 
91815;-для модернизации производства и конкурентоспособности продукции.; ; ; 
91816;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствует
91817;Нет;Нет;Нет;Нет
91821;действующий механизм, минимальные риски;только при форс-мажоре;действующий механизм контроля МВД России его территориальных органов за выданными рабочими визами;отсутствуют риски при своевременном соблюдении резидентами своих обязательств
91823;отсутствуют;маловероятны;уровень безопасности полетов и контроль числа авиационных происшествий;высокая
91825;Отсутствуют;-;non-applicable;non-applicable
91828;Отсутствуют;-;non-applicable;non-applicable
91831;На первоначальном этапе оценки рисков решения проблемы на основании экспертного мнения рисков не выявлено.;отсутствуют;non-applicable;non-applicable
91832;(Риск 1);отсутствует;-;-
91832;(Риск N);отсутствует;-;-
91839;отсутствуют;отсутствуют;non-applicable;non-applicable
91839;отсутствуют;отсутствуют;non-applicable;non-applicable
91841;Риск несоответствия между предложенным способом решения проблемы и заявленными целями регулирования;Маловероятен;non-applicable;non-applicable
91843;не имеется;не имеется;non-applicable;non-applicable
91846;-;-;-;-
91855;Информация уточняется;Информация уточняется;non-applicable;non-applicable
91859;Риски отсутствуют;-;non-applicable;non-applicable
91862;не выявлены;отсутствует;оценка количества обращений заявителей о несоблюдении сетевыми организациями предусмотренного настоящим постановлением порядка;отсутствует
91877;По итогам правоприменительной практики может быть выявлена необходимость внесения дополнительных изменений;Средняя;Мониторинг реализации норм Закона 7-ФЗ;Общий контроль
91882;-;-;-;-
91883;Отсутствуют;-;-;-
91887;нет;нет;нет;нет
91899;Отсутствуют;Отсутствуют;Отсутствует;Отсутствуют
91900;отсутствуют;отсутствуют;отсутствуют;отсутствуют
91906;Предложенный способ решения проблемы не связан с появлением рисков;Низкая;Оценка контроля не планируется;Низкая
91917;Рисков негативных последствий не имеется;Вероятность наступления рисков отсутствует;non-applicable;non-applicable
91925;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
91928;Отсутствуют;Отсутствуют;non-applicable;non-applicable
91945;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
91949;Отсутствуют;Отсутствует;non-applicable;non-applicable
91950;(Риск 1);отсутствует;отсутствует;отсутствует
91950;(Риск N);-;-;-
91967;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
91972;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
91989;--;--;--;--
91995;--;--;--;--
91997;отсутствуют;отсутствуют;Существующие;отсутствует
92010;Нет.;Нет.;Нет.;Нет.
92017;Отсутствуют;Отсутсвуют;non-applicable;non-applicable
92032;--;--;--;--
92046;нет;нет;нет;нет
92047;отсутствуют;-;-;-
92053;отсутствуют;отсутствуют;non-applicable;non-applicable
92063;Отсутствуют;-;-;-
92074;отсутствуют;отсутствуют;non-applicable;non-applicable
92078;Отсутствуют;Отсутствуют;Существующие;Высокая
92082;нет;нет;нет;нет
92093;Отсутствуют;Риски отсутствуют;-;-
92124;не имеется;не имеется;non-applicable;non-applicable
92128;отсутствуют;-;-;-
92131;.;.;.;.
92144;отсутствуют;отсутствуют;отсутствуют;отсутствуют
92144;отсутствуют;отсутствуют;отсутствуют;отсутствуют
92148;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствует
92151;.;.;.;.
92162;-;-;-;-
92167;не предусматриваются;-;-;-
92176;Риск отсутствия необходимых ресурсов, кадров;Отсутствует, так как осуществление новых полномочий не предусматривается.;Данный риск будет контролироваться путем осуществления организационно-технических и информационных мероприятий;Полный контроль
92220;Отсутствуют;Отсутствует;non-applicable;non-applicable
92225;-;-;-;-
92238;-;-;-;-
92241;не выявлены;нет;нет;нет
92245;не выявлены;нет;нет;нет
92246;Отсутствуют.;Отсутствуют.;non-applicable;non-applicable
92249;Решение проблемы предложенным способом не повлечет отрицательных социально-экономических последствий;Отсутствуют;Отсутствуют;Отсутствуют
92253;Снижение заготовки лома черных металловх;Учитывая дефицит лома черных металлов на региональных рынках, недопоставленные на экспорт объемы будут потреблены на внутреннем рынке;Мониторинг уровня заготовки лома черных металлов и уровня потребления предприятиями черной металлургии;Высокий
92266;Риски не выявлены.;Риски не выявлены.;Риски не выявлены.;Риски не выявлены.
92273;Несоответствия между предложенным способом решения проблемы и заявленными целями регулирования.;маловероятен;Данный риск будет контролироваться Росрыболовством и Минсельхозом России;Полный контроль
92288;Нет;Нет;Нет;Нет
92302;Риски решения проблемы предложенным способом и риски негативных последствий не выявлены;0;-;-
92312;Отсутствует;Отсутствует;Отсутствует;Отсутствует
92315;отсутствует;-;non-applicable;non-applicable
92321;отсутствуют;вероятность наступления рисков отсутствует;отсутствуют;высокая
92325;-;-;-;-
92336;Риски отсутствуют.;-;-;-
92358;отсутствуют;отсутствует;отсутствуют;отсутствует
92359;Несоответствия между предложенным способом решения проблемы и заявленными;маловероятен;Данный риск будет контролироваться Росрыболовством и Минсельхом России;Полный контроль
92363;Незначительное увеличение расходов операторов технического осмотра на прохождение процедуры аккредитации в сфере технического осмотра.;-;-;-
92381;-;-;-;-
92414;-;-;-;-
92438;Предложенный способ решения проблемы не связан с появлением новых рисков и негативных последствий;-;non-applicable;non-applicable
92452;Риски отсутствуют;Риски отсутствуют;Анализ правоприменительной практики;100%
92453;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
92455;-;-;-;-
92459;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
92469;отсутствуют;отсутствует;контроль недостоверных результатов измерений;отсутствует
92479;Отсутствуют.;Отсутствуют.;Отсутствуют.;Отсутствует.
92484;Отсутствуют;-;Отсутствуют;-
92496;нет;нет;нет;нет
92503;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют
92504;Не выявлены;-;-;-
92519;отсутствуют;Минимальная;существующие;высокая
92521;Риски отсутствуют;Риски отсутствуют;Анализ правоприменительной практики;100%
92522;-;-;non-applicable;non-applicable
92526;нет;нет;нет;нет
92528;-;-;-;-
92530;-;-;non-applicable;non-applicable
92537;отсутствуют;отсутствуют;отсутствуют;отсутствует
92538;нет;нет;non-applicable;non-applicable
92571;Отсутсвуют;Отсутсвуют;Отсутсвуют;Отсутсвуют
92580;Рисков не предусмотрено.;Вероятность не существует.;Контроль будет осуществляться со стороны МЧС России в ходе контрольно-надзорных мероприятий в области защиты населения и территории от чрезвычайных ситуаций.;Проведение внеплановых проверок по каждому факту неудовлетворительной оценки состояния функциональных и территориальных подсистем РСЧС.
92593;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствует
92597;Риски отсутствуют, т. к. Проект направлен на обеспечение информационной безопасности и безопасности российской Федерации в целом;Проект направлен на устранение угроз безопасности, отсутствие Проекта несет соответствующие риски;Контроль со стороны Роскомнадзора в части эффективности осуществляемого функционала;Высокая
92599;не выявлены;низкая;non-applicable;non-applicable
92613;Предложенный способ решения проблемы не связан с появлением новых рисков и негативных последствий;-;-;-
92614;Отсутствуют;-;-;-
92616;Риск несоответствия между предложенным способом решения проблемы и заявленными целями регулирования;Маловероятен;Данный риск будет контролироваться мероприятиями по мониторингу в части улучшения сбора данных Росрыболовством;Полный
92639;-;-;-;-
92644;Риск несоответствия между предложенным способом решения проблемы и заявленными целями регулирования;Маловероятен;Данный риск будет контролироваться мероприятиями по мониторингу в части улучшения сбора данных Росрыболовством;Полный
92660;отсутствуют;отсутствуют;-;-
92667;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
92672;Риски отсутствуют;отсутствуют;non-applicable;non-applicable
92680;Риски отсутствуют;отсутствуют;non-applicable;non-applicable
92686;Риски решения проблемы предложенным способом регулирования и риски негативных последствий не выявлены.;Отсутствует.;Отсутствует.;Отсутствует.
92700;отсутствуют;отсутствуют;-;-
92711;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствует
92720;Минимальные;Низкая;Мониторинг МВД России;Высокая
92725;нет;нет;нет;нет
92727;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
92730;Не имеется;-;non-applicable;non-applicable
92733;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
92734;Отсутствуют;Отсутствуют;Контроль судебными органами в части возможности обжалования.;Отсутствует
92752;Нет;Нет;Нет;Нет
92759;отсутствуют;отсутствуют;отсутствуют;отсутствуют
92761;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют
92764;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
92775;-;-;-;-
92787;Проект постановления Правительства Российской Федерации «Об утверждении Правил функционирования сети наблюдения и лабораторного контроля гражданской обороны и защиты населения» не несет каких-либо рисков;Отсутствуют;В рамках законодательства Российской Федерации;Отсутствует
92823;реализация проект постановления не влечет необходимости создания и (или) реорганизации действующих органов государственной власти, увеличения расходов (уменьшение доходов) бюджетов различного уровня, не оказывает влияния на достижение целей государтвенных программ РФ;-;non-applicable;non-applicable
92826;отсутствуют;отсутствуют;отсутствуют;отсутствует
92830;отсутствует;-;non-applicable;non-applicable
92835;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
92837;риски решения проблемы предложенным способом и риски негативных последствий не выявлены;низкая;non-applicable;non-applicable
92843;отсутствуют;100%;лицензионный контроль;высокая
92849;отсутствуют;отсутствуют;соблюдение Перечня;средняя
92858;отсутствуют;отсутствуют;non-applicable;non-applicable
92860;отсутствует;отсутствует;соблюдение перечня;средняя
92861;отсутствует;отсутствует;соблюдение Перечня;средняя
92862;отсутствуют;отсутствуют;соблюдение перечня;средняя
92867;Рисков не имеется;Отсутствуют;Отсутствуют;Отсутствуют
92868;В случае отсутствия единых форм документов, формируемых при осуществлении государственного строительного надзора, каждый орган исполнительной власти или организация, уполномоченные на осуществление государственного строительного надзора, будут вынуждены разрабатывать иные ведомственные акты. При этом невозможно формы документов к единообразию;высокая;non-applicable;non-applicable
92874;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют
92887;-;-;-;-
92889;нет;нет;non-applicable;non-applicable
92919;Риски и негативные последствия отсутствуют;Риски и негативные последствия отсутствуют;Риски и негативные последствия отсутствуют;Риски и негативные последствия отсутствуют
92935;нет;нет;нет;нет
92938;отсутствуют;отсутствуют;отсутствуют;отсутствуют
92947;отсутствуют;отсутствуют;отсутствуют;отсутствуют
92950;отсутствуют;отсутствуют;non-applicable;non-applicable
92955;нет;нет;non-applicable;non-applicable
92973;нет;нет;-;-
92975;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
92977;-;-;-;-
92979;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствует
92996;отсутствует;отсутствует;отсутствует;отсутствует
93025;(Риск 1);отсутствует;-;-
93025;(Риск N);отсутствует;-;-
93058;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
93065;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
93083;.;.;.;.
93086;правоприменительная практика законодательства Российской Федерации; ; ; 
93086;в области оборота наркотических средств, психотропных веществ и их прекурсоров;нет;нет;нет
93087;не имеется;низкая;мониторинг правоприменительной практики;высокая
93090;нет;низкая;мониторинг;высокая
93098;-;-;-;-
93105;-;-;-;-
93108;отсутствуют;отсутствуют;отсутствуют;отсутствует
93125;"Отсутствуют, в связи с исключением пробелов в нормативно-правовом регулировании. ";Вероятность наступления рисков отсутствует.;Контроль эффективности избранного способа достижения целей регулирования будет осуществлен по средством поступления информации об отсутствии предъявленных претензий со стороны стран-импортеров, а также в процессе экспортного контроля.;Отсутствует
93125;Негативные последствия могут наступить в случае непринятия данного законопроекта ввиду приостановки экспортно-импортных поставок, а так же нанесения ущерба федеральному бюджету Российской Федерации.;Вероятность наступления рисков отсутствует.;Контроль эффективности избранного способа достижения целей регулирования будет осуществлен по средством поступления информации об отсутствии предъявленных претензий со стороны стран-импортеров, а также в процессе экспортного контроля.;Отсутствует
93126;при разработке рисков не выявлено;-;-;-
93136;Отсутствуют.;Отсутствуют.;Отсутствуют.;Отсутствуют.
93145;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
93154;исполнение постановления Правительства РФ;-;-;-
93155;отсутствуют;отсутствуют;отсутствуют;высокая
93170;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
93172;В отношении возможности передачи государственными (муниципальными) унитарными предприятиями и государственными (муниципальными) учреждениями или иными юридическими лицами и индивидуальными предпринимателями переданных им уполномоченными органами конфискованных диких животных в неволе имеются объективные негативные риски, заключающиеся в ограниченном количестве юридических лиц и индивидуальных предпринимателей, имеющих условия для содержания и надлежащего ухода за разными видами диких животных, особенно морских млекопитающих, а также отсутствием системы государственных специализированных реабилитационных центров.;Вероятность наступления рисков минимальная;Стимулирование развития центров содержания и реинтродукции диких животных;Степень контроля рисков оценить в настоящее время затруднительно
93175;Риски отсутствуют;-;non-applicable;non-applicable
93182;отсутствуют;-;-;-
93184;Отсутствуют;-;-;-
93190;отсутствуют;отсутствуют;отсутствуют;отсутствуют
93193;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
93194;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
93198;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
93204;.;.;non-applicable;non-applicable
93222;-;-;non-applicable;non-applicable
93229;риску отсутствуют;отсутствуют;отсутствуют;отсутствуют
93238;не выявлены;низкая;non-applicable;non-applicable
93244;-;-;-;-
93249;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
93250;-;-;-;-
93252;В случае принятия проекта постановления организация деятельности приютов для животных будет введена в единые рамки, что несет риски возможного закрытия отдельных приютов для животных, не соответствующих установленным требованиям, но в тоже время создаст платформу для развития сети государственных и муниципальных приютов для животных на качественно новом уровне.;Вероятность наступления рисков минимальная;Стимулирование развития приютов для животных разных форм собственности.;Степень контроля рисков оценить в настоящее время затруднительно
93253;нет;нет;non-applicable;non-applicable
93255;отсутствует;-;non-applicable;non-applicable
93256;нет;нет;non-applicable;non-applicable
93257;(Риск 1);отсутствует;отсутствует;отсутствует
93257;(Риск N);-;-;-
93280;По итогам правоприменительной практики может быть выявлена необходимость внесения дополнительных изменений в проект постановления;средняя;Мониторинг реализации норм Федерального закона, Закона № 7-ФЗ и Правил;Общий контроль
93295;Не имеется;Нет данных;Нет данных;Высокая
93301;Отсутствуют;Нет данных;Нет данных;Нет данных
93307;Отсутствуют;нет;нет;нет
93319;нет;нет;non-applicable;non-applicable
93321;Отсутствует;Отсутствует;non-applicable;non-applicable
93326;Риски отсутствуют;-;non-applicable;non-applicable
93347;отсутствуют;-;-;-
93349;отсутствуют;отсутствуют;существующие;отсутствует
93364;Отсутствуют;Отсутствуют;Существующие;Высокая
93367;отсутствуют;отсутствуют;существующие;отсутствует
93368;Отсутствует;Отсутствует;non-applicable;non-applicable
93370;отсутствуют;отсутствуют;существующие;отсутствуют
93375;Риски не выявлены;-;-;-
93389;Отсутствуют;Нет;Нет;Нет
93417;не имеется;не имеется;не имеется;не имеется
93428;(Риск 1);отсутствует;отсутствует;отсутствует
93428;(Риск N);-;-;-
93431;отсутствуют;отсутствуют;non-applicable;non-applicable
93434;-;-;-;-
93437;Не имеется;Не имеется;Не имеется;Не имеется
93439;"Риски невозможности обеспечения достаточного контроля соблюдения предлагаемых требований; "; ; ; 
